STATE/UT,BANKS - Dacoity,BANKS - Robbery,BANKS - Burglary,BANKS - Theft
A & N ISLANDS,0,1,1,20
ANDHRA PRADESH,7,13,262,478
ARUNACHAL PRADESH,1,0,1,0
ASSAM,15,31,24,82
BIHAR,154,97,36,90
CHANDIGARH,1,0,15,8
CHHATTISGARH,22,47,103,417
D & N HAVELI,0,0,4,3
DAMAN & DIU,0,1,3,0
DELHI,3,3,14,138
GOA,0,5,53,22
GUJARAT,15,28,268,236
HARYANA,15,57,278,303
HIMACHAL PRADESH,3,8,180,41
JAMMU & KASHMIR,13,34,45,6
JHARKHAND,85,91,14,211
KARNATAKA,20,124,510,704
KERALA,7,21,267,71
LAKSHADWEEP,0,0,1,1
MADHYA PRADESH,11,63,193,266
MAHARASHTRA,50,125,1153,1242
MANIPUR,0,0,1,6
MEGHALAYA,2,1,5,0
MIZORAM,0,0,2,0
NAGALAND,1,6,2,33
ODISHA,87,69,260,91
PUDUCHERRY,0,0,0,0
PUNJAB,17,53,351,208
RAJASTHAN,2,30,281,11
SIKKIM,0,0,12,9
TAMIL NADU,6,18,207,148
TRIPURA,10,18,18,64
UTTAR PRADESH,30,97,41,9
UTTARAKHAND,8,10,8,14
WEST BENGAL,87,174,17,103
