STATE/UT,HIGHWAYS - Dacoity,HIGHWAYS - Robbery,HIGHWAYS - Burglary,HIGHWAYS - Theft
A & N ISLANDS,0,0,0,0
ANDHRA PRADESH,471,1486,504,3544
ARUNACHAL PRADESH,19,69,9,128
ASSAM,420,991,515,1833
BIHAR,1934,11913,267,4665
CHANDIGARH,0,0,0,0
CHHATTISGARH,122,706,321,731
D & N HAVELI,1,6,0,11
DAMAN & DIU,0,0,0,1
DELHI,17,371,0,1128
GOA,7,40,0,88
GUJARAT,528,1039,70,1470
HARYANA,349,1088,282,3960
HIMACHAL PRADESH,6,33,0,348
JAMMU & KASHMIR,3,23,40,291
JHARKHAND,1971,4105,47,3131
KARNATAKA,317,734,401,1809
KERALA,134,365,104,1067
LAKSHADWEEP,0,0,0,0
MADHYA PRADESH,249,2909,205,6662
MAHARASHTRA,933,3570,185,5043
MANIPUR,26,28,7,362
MEGHALAYA,265,306,11,194
MIZORAM,13,46,126,170
NAGALAND,52,337,11,242
ODISHA,735,4403,179,1429
PUDUCHERRY,0,0,0,0
PUNJAB,34,163,22,1753
RAJASTHAN,136,769,0,1452
SIKKIM,1,3,0,33
TAMIL NADU,216,920,37,4304
TRIPURA,6,20,0,21
UTTAR PRADESH,849,13737,79,109154
UTTARAKHAND,53,726,10,442
WEST BENGAL,274,921,7,1032
