STATE/UT,RESIDENTIAL PREMISES - Dacoity,RESIDENTIAL PREMISES - Robbery,RESIDENTIAL PREMISES - Burglary,RESIDENTIAL PREMISES - Theft
A & N ISLANDS,0,8,592,252
ANDHRA PRADESH,845,2612,70059,97567
ARUNACHAL PRADESH,119,321,1349,2243
ASSAM,2612,2357,18375,37042
BIHAR,6606,2823,30745,63752
CHANDIGARH,3,46,1808,6898
CHHATTISGARH,636,619,35246,16201
D & N HAVELI,17,10,171,292
DAMAN & DIU,4,2,222,52
DELHI,145,1092,16149,56767
GOA,24,58,1987,1182
GUJARAT,1166,2245,36635,46649
HARYANA,225,716,31165,32329
HIMACHAL PRADESH,6,30,4565,1155
JAMMU & KASHMIR,88,378,9054,6024
JHARKHAND,2757,2124,14014,32328
KARNATAKA,710,3098,47568,50098
KERALA,282,1907,25373,17123
LAKSHADWEEP,2,0,18,50
MADHYA PRADESH,572,2819,100474,92834
MAHARASHTRA,1860,4221,117344,102193
MANIPUR,5,10,235,1043
MEGHALAYA,208,189,1030,2031
MIZORAM,10,24,2701,4518
NAGALAND,31,248,530,1601
ODISHA,1067,2366,22199,22640
PUDUCHERRY,10,18,655,939
PUNJAB,107,314,14348,13421
RAJASTHAN,83,272,38747,32628
SIKKIM,3,22,607,501
TAMIL NADU,414,2752,35562,46398
TRIPURA,128,342,1360,2200
UTTAR PRADESH,1864,2725,45917,55119
UTTARAKHAND,166,304,3533,6536
WEST BENGAL,886,1036,2998,65111
