state_name,2001 total Juvenile apprehended,2010 total Juvenile apprehended,Population of 2001,Population of 2010,Literacy rate of 2001,Literacy rate of 2010,Poverty rate of 2001,Poverty rate of 2010,Growth/Decrease in Population(%),Growth/Decrease in Literacy rate(%),Growth/Decrease in Pverty rate(%),Growth/Decrease in Juvenile apprehended(%)
A & N ISLANDS,16,25,356152,380500,81.3,86.6,0.36,0.11,6.84,6.52,-69.44,56.25
ANDHRA PRADESH,1425,1863,76200000,76210007,60.47,67.7,4.19,21.09,0.01,11.96,403.34,30.74
ARUNACHAL PRADESH,136,81,1098000,1097968,54.3,67.0,22.6,25.87,-0.0,23.39,14.47,-40.44
ASSAM,253,383,26655528,31205576,63.3,73.3,35.32,37.94,17.07,15.8,7.42,51.38
BIHAR,576,693,82998509,104099450,47.0,63.8,42.6,53.54,25.42,35.74,25.68,20.31
CHANDIGARH,66,166,900635,1054000,81.9,86.4,5.0,29.6,17.03,5.49,492.0,151.52
CHHATTISGARH,1191,2128,20833803,25545198,64.7,71.0,40.2,48.72,22.61,9.74,21.19,78.67
D & N HAVELI,2,19,220490,342000,57.6,77.7,17.14,39.11,55.11,34.9,128.18,850.0
DAMAN & DIU,2,9,158204,240000,78.2,87.1,34.2,33.33,51.7,11.38,-2.54,350.0
DELHI,816,623,13850507,13451000,81.67,86.3,25.0,14.2,-2.88,5.67,-43.2,-23.65
GOA,67,76,1343998,1347668,82.0,87.4,9.9,9.9,0.27,6.59,0.0,13.43
GUJARAT,2616,1688,41310000,50671017,69.1,79.3,33.0,22.97,22.66,14.76,-30.39,-35.47
HARYANA,1373,836,21144564,25351462,57.9,76.6,24.11,20.08,19.9,32.3,-16.72,-39.11
HIMACHAL PRADESH,130,206,6077900,6864602,76.5,83.8,23.0,10.7,12.94,9.54,-53.48,58.46
JAMMU & KASHMIR,2,27,10143700,12267013,55.5,68.7,19.56,20.0,20.93,23.78,2.25,1250.0
JHARKHAND,285,96,26945829,32966238,53.6,67.6,47.0,39.06,22.34,26.12,-16.89,-66.32
KARNATAKA,693,180,52850562,61130704,66.6,75.6,31.0,23.64,15.67,13.51,-23.74,-74.03
KERALA,127,801,31841374,33406061,90.9,93.9,20.8,12.0,4.91,3.3,-42.31,530.71
LAKSHADWEEP,1,0,60650,64000,86.7,92.2,1.6,0.0,5.52,6.34,-100.0,-100.0
MADHYA PRADESH,5607,6028,60348203,72700000,63.7,70.6,35.0,36.74,20.47,10.83,4.97,7.51
MAHARASHTRA,4133,5884,96878627,112374333,76.9,82.9,24.0,24.46,15.99,7.8,1.92,42.37
MANIPUR,0,0,2293896,2166788,70.5,79.8,49.96,47.11,-5.54,13.19,-5.7,0.0
MEGHALAYA,65,110,2318822,2964007,62.5,75.5,50.0,17.1,27.82,20.8,-65.8,69.23
MIZORAM,31,76,888573,1091014,88.8,91.6,53.0,21.06,22.78,3.15,-60.26,145.16
NAGALAND,21,46,1990036,1978502,66.6,80.1,17.0,20.89,-0.58,20.27,22.88,119.05
ODISHA,212,527,36800000,36804660,63.1,73.5,47.15,37.01,0.01,16.48,-21.51,148.58
PUDUCHERRY,3,43,974345,1152261,81.2,86.5,20.88,21.67,18.26,6.53,3.78,1333.33
PUNJAB,24,226,24358999,27743338,69.7,76.7,17.0,40.0,13.89,10.04,135.29,841.67
RAJASTHAN,2883,2223,56507188,68548437,60.1,67.1,19.85,24.82,21.31,11.65,25.04,-22.89
SIKKIM,15,66,540493,540851,68.8,82.2,36.55,20.0,0.07,19.48,-45.28,340.0
TAMIL NADU,626,1091,62405679,72100000,73.5,80.3,22.0,25.0,15.53,9.25,13.64,74.28
TRIPURA,20,45,3199203,3673000,73.2,87.8,55.0,17.4,14.81,19.95,-68.36,125.0
UTTAR PRADESH,150,781,166197921,199800000,56.3,69.7,40.0,37.66,20.22,23.8,-5.85,420.67
UTTARAKHAND,5,148,8489349,10080000,71.6,79.6,34.0,10.5,18.74,11.17,-69.12,2860.0
WEST BENGAL,25,277,80176192,91276000,68.6,77.1,40.0,26.66,13.84,12.39,-33.35,1008.0
