state_name,Cases_Property_Recovered,Cases_Property_Stolen,Value_of_Property_Recovered,Value_of_Property_Stolen,DACOITY,ROBBERY,BURGLARY,THEFT
A & N ISLANDS,758,1831,26814597,323373417,18,142,1444,1930
ANDHRA PRADESH,166255,321411,4160485847,9381416588,3460,12674,161188,462896
ARUNACHAL PRADESH,3024,8316,323377119,947942701,454,1428,4764,8724
ASSAM,27392,122780,760503837,2907415787,7198,11446,55200,135544
BIHAR,31938,205920,549392383,3774581067,20006,42038,65812,238826
CHANDIGARH,7594,19860,312774341,837496992,44,532,4854,30846
CHHATTISGARH,34456,99856,966214216,2885063421,2672,8462,75548,104434
D & N HAVELI,585,1321,112572099,1003527784,62,52,688,1272
DAMAN & DIU,267,1028,40767667,187627125,58,28,846,924
DELHI,78929,245347,1388949119,30353492917,640,10582,40842,373230
GOA,2942,9894,161023668,2040806682,94,494,6052,12030
GUJARAT,83322,267030,3451053538,33215399705,6668,23298,102970,362424
HARYANA,66660,151668,4502527682,7641106109,2008,9044,72728,192758
HIMACHAL PRADESH,4899,17000,354290070,1406506405,86,432,15532,15694
JAMMU & KASHMIR,11359,37453,595491898,1497171970,336,2286,28278,42180
JHARKHAND,17684,88434,344168390,2328025107,10626,15206,28458,116528
KARNATAKA,80403,247484,4506109242,14575228877,4312,25914,122740,323416
KERALA,36533,110826,1535349510,13831646014,2442,13726,81320,107142
LAKSHADWEEP,52,184,828962,5355726,6,0,66,204
MADHYA PRADESH,127053,366762,10169142374,15529536066,2860,36844,234194,436528
MAHARASHTRA,236593,688407,12139343803,98702558557,13218,53042,307312,911764
MANIPUR,328,5792,68414663,715887549,78,146,1300,6424
MEGHALAYA,1962,8362,75582954,739241603,1394,1726,3196,9530
MIZORAM,9448,13446,172564139,430522571,84,208,8130,16928
NAGALAND,1333,5407,113955648,1914644505,234,1858,2016,6122
ODISHA,52038,112140,1380869783,6501912876,5124,23018,60088,128966
PUDUCHERRY,3637,7118,124525232,226802750,56,124,1844,12002
PUNJAB,42765,75591,4318923244,7828963997,768,2758,44610,80894
RAJASTHAN,70557,234734,5047468693,8843230392,1008,15074,112296,377122
SIKKIM,483,1657,20007270,237832194,12,106,1504,1660
TAMIL NADU,171074,215932,4365586144,7021000234,2078,14616,88068,318480
TRIPURA,1663,7240,44111539,316404280,416,1334,3876,7128
UTTAR PRADESH,85523,279985,6939526170,11928238164,8216,48920,107270,475976
UTTARAKHAND,7281,20765,250813360,817824583,630,3334,9690,32058
WEST BENGAL,42888,186113,2431274407,10994658527,4254,11556,9162,292062
