state_name,2001 total ST crimes,2012 total ST crimes,2001 total PCR act,2012 total PCR act,2001 total POA acts,2012 total POA acts,Population of 2001,Population of 2012,Literacy rate of 2001,Literacy rate of 2012,Poverty rate of 2001,Poverty rate of 2012,Growth/Decrease in Population(%),Growth/Decrease in Literacy rate(%),Growth/Decrease in Pverty rate(%),Growth/Decrease in ST crime(%)
A & N ISLANDS,1,2,0,0,0,2,356152,381174,81.3,86.6,0.36,1.57,7.03,6.52,336.11,100.0
ANDHRA PRADESH,357,539,26,0,129,127,76200000,85000000,60.47,67.7,4.19,9.2,11.55,11.96,119.57,50.98
ARUNACHAL PRADESH,72,10,0,0,0,0,1098000,1403000,54.3,67.0,22.6,34.7,27.78,23.39,53.54,-86.11
ASSAM,0,0,0,0,0,0,26655528,31169272,63.3,73.3,35.32,31.98,16.93,15.8,-9.46,0.0
BIHAR,29,1,8,0,10,118,82998509,103804637,47.0,63.8,42.6,33.7,25.07,35.74,-20.89,-96.55
CHANDIGARH,0,0,0,0,0,0,900635,995000,81.9,86.4,5.0,21.81,10.48,5.49,336.2,0.0
CHHATTISGARH,478,344,2,0,6,0,20833803,25540196,64.7,71.0,40.2,39.93,22.59,9.74,-0.67,-28.03
D & N HAVELI,3,3,0,0,3,1,220490,350000,57.6,77.7,17.14,17.14,58.74,34.9,0.0,0.0
DAMAN & DIU,0,0,0,0,0,0,158204,195000,78.2,87.1,34.2,5.09,23.26,11.38,-85.12,0.0
DELHI,0,0,0,0,0,0,13850507,16896984,81.67,86.3,25.0,9.91,22.0,5.67,-60.36,0.0
GOA,0,1,0,0,0,0,1343998,1457723,82.0,87.4,9.9,5.09,8.46,6.59,-48.59,0.0
GUJARAT,216,156,3,0,90,65,41310000,60383628,69.1,79.3,33.0,16.6,46.17,14.76,-49.7,-27.78
HARYANA,0,0,0,0,0,0,21144564,25353081,57.9,76.6,24.11,11.2,19.9,32.3,-53.55,0.0
HIMACHAL PRADESH,2,0,0,0,2,3,6077900,6856509,76.5,83.8,23.0,8.1,12.81,9.54,-64.78,-100.0
JAMMU & KASHMIR,0,0,0,0,0,0,10143700,12548926,55.5,68.7,19.56,10.3,23.71,23.78,-47.34,0.0
JHARKHAND,262,154,0,0,20,133,26945829,32966238,53.6,67.6,47.0,37.0,22.34,26.12,-21.28,-41.22
KARNATAKA,59,209,13,1,204,164,52850562,61130704,66.6,75.6,31.0,20.9,15.67,13.51,-32.58,254.24
KERALA,69,114,0,0,14,10,31841374,33387677,90.9,93.9,20.8,7.1,4.86,3.3,-65.87,65.22
LAKSHADWEEP,0,0,0,0,0,0,60650,65000,86.7,92.2,1.6,2.77,7.17,6.34,73.12,0.0
MADHYA PRADESH,1290,1218,2,0,243,0,60348203,72597565,63.7,70.6,35.0,31.6,20.3,10.83,-9.71,-5.58
MAHARASHTRA,197,254,0,1,41,53,96878627,112372972,76.9,82.9,24.0,17.4,15.99,7.8,-27.5,28.93
MANIPUR,0,2,0,0,0,0,2293896,2721756,70.5,79.8,49.96,36.9,18.65,13.19,-26.14,0.0
MEGHALAYA,0,0,0,0,0,0,2318822,2964007,62.5,75.5,50.0,11.9,27.82,20.8,-76.2,0.0
MIZORAM,10,0,0,0,0,0,888573,1091014,88.8,91.6,53.0,20.4,22.78,3.15,-61.51,-100.0
NAGALAND,310,0,0,0,0,0,1990036,1980602,66.6,80.1,17.0,18.9,-0.47,20.27,11.18,-100.0
ODISHA,577,109,4,0,153,579,36800000,41947358,63.1,73.5,47.15,32.6,13.99,16.48,-30.86,-81.11
PUDUCHERRY,0,0,0,0,0,0,974345,681000,81.2,86.5,20.88,15.0,-30.11,6.53,-28.16,0.0
PUNJAB,0,0,0,0,0,0,24358999,27704236,69.7,76.7,17.0,8.3,13.73,10.04,-51.18,0.0
RAJASTHAN,358,1320,0,0,665,31,68548437,68621012,60.1,67.1,19.85,14.7,0.11,11.65,-25.94,268.72
SIKKIM,6,4,0,0,0,0,540493,607688,68.8,82.2,36.55,8.2,12.43,19.48,-77.56,-33.33
TAMIL NADU,7,22,0,0,2,5,62405679,72138958,73.5,80.3,22.0,11.3,15.6,9.25,-48.64,214.29
TRIPURA,0,29,0,0,0,0,3199203,3671037,73.2,87.8,55.0,14.0,14.75,19.95,-74.55,0.0
UTTAR PRADESH,179,32,0,0,75,12,166197921,199581477,56.3,69.7,40.0,29.4,20.09,23.8,-26.5,-82.12
UTTARAKHAND,9,0,0,0,9,3,8489349,10116752,71.6,79.6,34.0,11.3,19.17,11.17,-66.76,-100.0
WEST BENGAL,1,86,0,0,1,5,80176192,91347736,68.6,77.1,40.0,20.0,13.93,12.39,-50.0,8500.0
