DISTRICT,MURDER,ATTEMPT TO MURDER,RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,DACOITY,ROBBERY,BURGLARY,THEFT,CHEATING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,Area
24 PARGANAS NORTH,2329,1262,1883,3311,2390,248,739,387,21986,2168,140,1879,683,47,17446,180,56644,122795,Sensitive Area
24 PARGANAS SOUTH,2114,201,2221,2209,2120,194,392,556,18426,1389,129,1864,642,19,18672,401,58961,120912,Sensitive Area
AGRA,1609,1816,493,2541,1936,201,1220,3063,20725,3323,121,5381,832,955,4003,4605,20143,77987,Sensitive Area
AHMEDABAD COMMR.,1204,778,506,2301,1669,471,5292,9392,57655,3173,79,16439,83,225,11670,2084,100241,218005,Sensitive Area
ALWAR,1019,975,899,1598,1151,17,503,2563,17664,7895,348,27728,482,2,4781,4610,27345,101378,Sensitive Area
BANGALORE COMMR.,2831,4067,642,3014,947,529,6740,19968,105434,26401,48,37973,552,407,3832,1182,124176,350347,Sensitive Area
BHOPAL,821,1099,1272,610,496,48,1839,11236,25093,1873,208,13023,278,623,1967,3299,102247,169575,Sensitive Area
CHENNAI,1365,2710,531,627,377,73,1039,6543,29379,6431,33,11699,271,2229,2212,10434,86221,164467,Sensitive Area
CYBERABAD,1810,914,641,1398,857,141,765,11946,29665,11423,491,32697,437,3168,8932,10314,23701,141743,Sensitive Area
GHAZIABAD,2227,2321,357,2340,1741,144,1117,2237,23938,3665,54,731,479,940,2922,4719,19741,71937,Sensitive Area
GUNTUR,1775,1326,526,969,705,91,347,3509,13165,4238,692,22209,234,2252,5792,6110,28932,97091,Sensitive Area
GUWAHATI CITY,698,468,682,2959,2238,253,1582,6701,18603,2273,218,6441,81,0,1932,2459,26625,76930,Sensitive Area
GWALIOR,1143,1744,816,833,617,100,2055,11163,18722,1363,250,12847,347,161,1852,2778,50509,111206,Sensitive Area
HYDERABAD CITY,1455,1563,712,1466,690,121,942,13435,56167,22504,433,47343,397,1741,14055,5966,28465,202931,Sensitive Area
INDORE,1339,1810,1255,625,460,73,2326,11729,40882,1788,507,20260,359,860,3918,4657,105984,204398,Sensitive Area
JABALPUR,1008,1597,1285,484,348,19,1174,6035,11348,1312,240,35159,479,852,1802,2451,49612,119446,Sensitive Area
KANPUR NAGAR,1961,1490,492,2636,2142,197,1199,2849,13894,4427,99,5567,756,2090,4341,4043,22257,74203,Sensitive Area
KARIMNAGAR,1674,1199,853,1534,1201,91,344,3258,7588,5639,685,31334,594,2324,7304,5474,20258,96728,Sensitive Area
KOLKATA,596,1159,433,1534,1178,151,1007,1434,41317,14360,0,19434,118,1107,4362,5334,55938,158429,Sensitive Area
LUCKNOW,1828,1576,689,2914,2578,186,1532,6663,28816,7731,67,793,584,1828,5598,5058,43505,118377,Sensitive Area
MEERUT,2398,2351,542,2082,1516,151,1799,2255,15742,3072,39,689,399,1191,3746,3279,17894,62010,Sensitive Area
MUMBAI,1254,712,776,793,393,213,1600,14163,54936,6694,38,18382,66,305,1195,3487,31636,141815,Sensitive Area
MUMBAI COMMR.,1542,1063,1386,1334,904,226,3209,19916,85365,13577,218,28353,106,971,2736,4942,47568,222670,Sensitive Area
MURSHIDABAD,1644,2657,3352,2943,2519,152,391,114,7833,1125,248,18652,384,33,17229,3198,17323,85689,Sensitive Area
NADIA,1355,1869,1734,2532,2363,239,385,166,11523,1568,153,14539,475,32,11296,2351,23783,79313,Sensitive Area
NAGPUR COMMR.,1175,756,566,646,476,198,2963,12414,27488,3210,240,10923,74,591,2320,3106,32942,104410,Sensitive Area
PATNA,4586,2845,572,3502,1169,951,4901,6855,23942,4833,284,7533,1012,14,2838,4618,70387,147542,Sensitive Area
PUNE COMMR.,1317,1123,846,1087,774,309,3667,13165,48898,6648,224,13740,57,1052,2493,5687,30547,139973,Sensitive Area
SOUTH,1122,818,1415,2700,1863,70,1027,5034,38891,3838,217,4931,283,339,3112,1127,42359,111776,Sensitive Area
THANE COMMR.,1384,879,808,1046,679,318,2539,13137,28029,7506,214,17026,90,444,3408,3702,13344,100617,Sensitive Area
WEST,1761,794,1622,3286,2115,143,859,4054,29246,2407,315,6772,372,123,5024,1753,38380,100641,Sensitive Area
WEST GODAVARI,887,1234,1062,1124,756,35,252,4169,13847,4343,462,23937,238,1826,6558,6031,18401,90029,Sensitive Area
