DISTRICT,Murder,Rape,Kidnapping Abduction,Dacoity,Robbery,Arson,Hurt,Protection of Civil Rights (PCR) Act,Prevention of atrocities (POA) Act,Other Crimes Against STs,Area
ADILABAD,1,45,10,0,0,0,25,1,32,155,Sensitive Area
AHMEDNAGAR,8,30,1,0,0,12,4,0,13,52,Sensitive Area
ALWAR,22,12,0,0,0,10,17,0,54,506,Sensitive Area
ANANTAPUR,1,12,0,0,0,2,87,0,157,112,Sensitive Area
ANGUL,2,14,2,0,0,0,81,0,142,286,Sensitive Area
ANUPPUR,12,56,5,1,1,1,27,0,0,145,Sensitive Area
BALAGHAT,28,102,3,0,0,0,118,0,81,168,Sensitive Area
BALASORE,0,38,4,0,3,4,126,0,120,49,Sensitive Area
BALRAMPUR,16,83,0,1,0,2,89,0,1,123,Sensitive Area
BANSWARA,6,20,9,0,0,3,117,0,41,173,Sensitive Area
BARAGARH,3,14,5,0,1,1,47,0,102,60,Sensitive Area
BARAN,10,57,11,0,0,2,42,0,97,327,Sensitive Area
BARMER,7,10,1,0,0,2,17,0,96,392,Sensitive Area
BARWANI,11,42,4,0,0,0,158,0,16,155,Sensitive Area
BELLARY,2,3,0,0,0,0,0,0,333,66,Sensitive Area
BETUL,30,305,23,0,0,2,109,1,1,443,Sensitive Area
BHARATPUR,3,7,0,0,0,4,2,0,83,340,Sensitive Area
BHARUCH,15,19,7,1,1,1,73,0,136,57,Sensitive Area
BHILWARA,4,19,0,0,0,6,1,0,172,253,Sensitive Area
BILASPUR,11,47,12,0,2,2,41,0,141,307,Sensitive Area
BOLANGIR,16,26,9,1,16,5,71,0,182,214,Sensitive Area
BUNDI,8,19,4,0,1,2,72,0,29,375,Sensitive Area
CHATRA,3,5,2,0,0,32,5,10,19,18,Sensitive Area
CHHINDWARA,25,179,13,0,0,1,51,0,0,349,Sensitive Area
CHITTORGARH,4,49,3,0,0,5,2,0,131,461,Sensitive Area
CYBERABAD,7,13,1,0,0,0,27,10,170,113,Sensitive Area
DAMOH,16,43,4,0,0,3,93,0,122,90,Sensitive Area
DAUSA,7,7,5,0,0,9,12,0,12,544,Sensitive Area
DEWAS,12,85,14,0,0,2,20,0,0,428,Sensitive Area
DHAR,29,157,5,0,0,2,121,0,2,272,Sensitive Area
DHEMAJI,13,8,22,0,6,2,27,0,0,50,Sensitive Area
DHENKANAL,6,11,4,1,0,2,28,0,127,49,Sensitive Area
DINDORI,13,69,3,1,0,0,19,0,93,160,Sensitive Area
DUMKA,2,17,4,0,0,0,33,10,111,87,Sensitive Area
DURG,12,75,5,0,0,0,32,0,43,250,Sensitive Area
GARHWA,3,14,10,2,3,1,63,10,96,49,Sensitive Area
GUMLA,6,29,28,0,4,0,11,20,66,34,Sensitive Area
GUNA,6,65,3,1,2,6,120,0,2,311,Sensitive Area
GUNTUR,5,14,1,0,0,2,63,0,57,212,Sensitive Area
GWALIOR,6,47,3,0,1,3,23,0,19,493,Sensitive Area
HARDA,6,73,9,0,1,0,86,0,15,104,Sensitive Area
HOSHANGABAD,12,120,5,0,0,5,175,0,0,153,Sensitive Area
INDORE,11,44,6,0,0,2,63,0,34,261,Sensitive Area
JABALPUR,13,97,2,0,1,1,80,0,238,217,Sensitive Area
JAGDALPUR,40,188,6,0,1,10,76,5,78,309,Sensitive Area
JAIPUR,4,11,0,0,0,11,8,0,265,123,Sensitive Area
JAIPUR RURAL,9,8,0,0,0,13,13,0,7,496,Sensitive Area
JALORE,6,10,0,0,0,0,4,0,96,341,Sensitive Area
JAMSHEDPUR,28,17,10,2,3,5,226,6,86,77,Sensitive Area
JASHPUR,10,80,10,0,0,0,10,0,90,130,Sensitive Area
JHALAWAR,15,38,6,0,3,1,52,0,17,293,Sensitive Area
KALAHANDI,6,22,4,0,0,2,71,0,82,46,Sensitive Area
KANDHAMAL,6,9,8,1,1,0,80,0,166,28,Sensitive Area
KANKER,28,59,3,14,0,0,17,0,17,112,Sensitive Area
KARAULI,7,10,0,0,0,5,6,0,90,388,Sensitive Area
KARIMNAGAR,9,20,5,0,1,0,126,0,112,232,Sensitive Area
KATNI,8,42,2,0,0,3,18,0,94,125,Sensitive Area
KEONJHAR,8,35,3,0,5,4,38,0,68,48,Sensitive Area
