DISTRICT,Murder,Rape,Kidnapping and Abduction,Foeticide,Abetment of suicide,Exposure and abandonment,Procuration of minor girls,Buying of girls for prostitution,Selling of girls for prostitution,Prohibition of child marriage act,Total,Area type
AGRA,68.0,187.0,805.0,0.0,1.0,0.0,0.0,1.0,16.0,1.0,1456,Sensitive Area
AHMEDABAD COMMR.,20.0,74.0,665.0,2.0,0.0,222.0,20.0,0.0,1.0,6.0,1435,Sensitive Area
AHMEDNAGAR,116.0,179.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366,Sensitive Area
AKOLA,40.0,100.0,164.0,0.0,0.0,97.0,0.0,0.0,0.0,6.0,773,Sensitive Area
ALIGARH,175.0,179.0,556.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1000,Sensitive Area
ALLAHABAD,131.0,169.0,327.0,5.0,12.0,0.0,0.0,0.0,4.0,1.0,787,Sensitive Area
ALWAR,24.0,203.0,286.0,0.0,1.0,95.0,0.0,0.0,0.0,0.0,609,Sensitive Area
AMRAVATI RURAL,40.0,297.0,166.0,0.0,2.0,12.0,0.0,0.0,0.0,4.0,572,Sensitive Area
AMRELI,36.0,31.0,251.0,8.0,0.0,34.0,0.0,0.0,0.0,12.0,418,Sensitive Area
AMRITSAR,31.0,40.0,123.0,39.0,1.0,3.0,1.0,0.0,0.0,1.0,288,Sensitive Area
ANAND,34.0,40.0,232.0,1.0,0.0,66.0,3.0,0.0,0.0,9.0,400,Sensitive Area
ANANTAPUR,58.0,82.0,202.0,0.0,17.0,1.0,2.0,0.0,4.0,1.0,402,Sensitive Area
ANUPPUR,19.0,211.0,42.0,13.0,4.0,11.0,0.0,0.0,0.0,5.0,305,Sensitive Area
AURANGABAD COMMR.,43.0,109.0,157.0,3.0,0.0,169.0,26.0,0.0,0.0,1.0,589,Sensitive Area
AURANGABAD RURAL,64.0,58.0,34.0,6.0,2.0,24.0,0.0,0.0,0.0,7.0,397,Sensitive Area
BADAUN,73.0,122.0,387.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,670,Sensitive Area
BALAGHAT,47.0,397.0,59.0,2.0,0.0,7.0,0.0,0.0,1.0,0.0,1089,Sensitive Area
BANGALORE COMMR.,31.0,69.0,430.0,3.0,0.0,17.0,48.0,0.0,1.0,10.0,675,Sensitive Area
BAREILLY,115.0,209.0,415.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,938,Sensitive Area
BEED,114.0,155.0,149.0,1.0,1.0,21.0,1.0,0.0,0.0,3.0,669,Sensitive Area
BELGAUM,126.0,159.0,173.0,0.0,0.0,89.0,9.0,0.0,0.0,5.0,570,Sensitive Area
BETUL,46.0,678.0,122.0,2.0,2.0,14.0,0.0,0.0,0.0,2.0,1719,Sensitive Area
BHANDARA,38.0,212.0,115.0,0.0,5.0,7.0,0.0,0.0,1.0,2.0,613,Sensitive Area
BHARATPUR,81.0,108.0,377.0,6.0,0.0,74.0,1.0,0.0,0.0,0.0,647,Sensitive Area
BHATINDA,20.0,97.0,106.0,28.0,2.0,1.0,6.0,0.0,1.0,3.0,298,Sensitive Area
BHAVNAGAR,74.0,52.0,402.0,17.0,1.0,105.0,0.0,0.0,0.0,56.0,1103,Sensitive Area
BHOPAL,71.0,675.0,268.0,3.0,3.0,97.0,10.0,0.0,18.0,2.0,1326,Sensitive Area
BIJNOR,127.0,173.0,463.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,874,Sensitive Area
BILASPUR,44.0,297.0,148.0,40.0,11.0,13.0,1.0,0.0,0.0,29.0,1145,Sensitive Area
BULANDSHAHAR,170.0,115.0,262.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,697,Sensitive Area
BULDHANA,79.0,162.0,160.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,716,Sensitive Area
CENTRAL,15.0,121.0,752.0,0.0,0.0,29.0,4.0,0.0,8.0,0.0,1030,Sensitive Area
CHANDIGARH,20.0,152.0,385.0,0.0,2.0,108.0,0.0,0.0,0.0,2.0,753,Sensitive Area
