DISTRICT,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls,Area type
24 PARGANAS NORTH,1883,2390,683,1919,47,17446,8,Sensitive Area
24 PARGANAS SOUTH,2221,2120,642,1438,19,18672,3,Sensitive Area
ADILABAD,672,570,188,1785,1242,4126,0,Sensitive Area
AGRA,493,1936,832,1278,955,4003,0,Sensitive Area
AHMEDABAD COMMR.,506,1669,83,820,225,11670,0,Sensitive Area
BANGALORE COMMR.,642,947,552,2630,407,3832,0,Sensitive Area
BAREILLY,673,1458,595,1075,667,2570,3,Sensitive Area
CHENNAI,531,377,271,849,2229,2212,0,Sensitive Area
CHITTOOR,368,531,262,1381,2179,3283,0,Sensitive Area
CYBERABAD,641,857,437,1372,3168,8932,4,Sensitive Area
EAST GODAVARI,499,378,206,1920,1584,4927,0,Sensitive Area
FARIDABAD,501,851,210,420,3648,1985,0,Sensitive Area
GHAZIABAD,357,1741,479,534,940,2922,0,Sensitive Area
GUNTUR,526,705,234,2881,2252,5792,0,Sensitive Area
HYDERABAD CITY,712,690,397,2088,1741,14055,2,Sensitive Area
INDORE,1255,460,359,3535,860,3918,5,Sensitive Area
JABALPUR,1285,348,479,3086,852,1802,3,Sensitive Area
JALPAIGURI,1777,1536,123,1887,5,6745,0,Sensitive Area
KANPUR NAGAR,492,2142,756,1083,2090,4341,0,Sensitive Area
KARIMNAGAR,853,1201,594,3833,2324,7304,1,Sensitive Area
KHAMMAM,721,717,218,2247,2525,4090,0,Sensitive Area
KOLKATA,433,1178,118,2572,1107,4362,27,Sensitive Area
KRISHNA,528,466,169,2865,1698,5016,0,Sensitive Area
KURNOOL,419,599,154,3504,2172,3002,0,Sensitive Area
LUCKNOW,689,2578,584,1402,1828,5598,0,Sensitive Area
MEERUT,542,1516,399,831,1191,3746,0,Sensitive Area
MORADABAD,635,1345,395,846,1014,2558,0,Sensitive Area
MUMBAI COMMR.,1386,904,106,3200,971,2736,1,Sensitive Area
MURSHIDABAD,3352,2519,384,3487,33,17229,0,Sensitive Area
NADIA,1734,2363,475,1610,32,11296,72,Sensitive Area
NAGAON,1464,2516,108,1125,68,4910,0,Sensitive Area
NALGONDA,698,689,402,2738,1542,3675,0,Sensitive Area
NELLORE,488,774,107,2413,1621,3352,0,Sensitive Area
SAGAR,1502,468,403,4603,247,1733,0,Sensitive Area
SOUTH,1415,1863,283,2256,339,3112,0,Sensitive Area
VIJAYAWADA CITY,200,352,94,1190,1802,4523,0,Sensitive Area
WEST,1622,2115,372,1715,123,5024,0,Sensitive Area
WEST GODAVARI,1062,756,238,3859,1826,6558,0,Sensitive Area
