DISTRICT,MURDER,ATTEMPT TO MURDER,RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,DACOITY,ROBBERY,BURGLARY,THEFT,CHEATING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,Area
A and N ISLANDS,15,19,3,12,9,5,9,90,112,23,11,99,1,2,18,4,337,807,Peaceful Area
AHWA-DANG,78,13,29,6,5,5,9,51,104,18,18,259,1,1,71,225,1238,2237,Peaceful Area
AIZAWL,141,127,345,38,1,8,52,2316,5201,453,109,445,0,2,36,180,2602,12686,Peaceful Area
ALIRAJPUR,319,208,145,63,61,6,44,191,356,20,59,1402,3,2,28,362,3011,6449,Peaceful Area
ALMORA,146,87,49,39,38,14,99,216,425,132,31,351,70,20,83,156,649,2784,Peaceful Area
AMBALA,350,219,237,310,252,38,177,2959,4373,1030,84,2518,109,188,1806,30,11279,26471,Peaceful Area
AMBALA RURAL,13,15,11,28,19,1,6,118,209,45,3,66,7,4,73,2,462,1082,Peaceful Area
AMBALA URBAN,15,16,21,75,39,0,21,362,600,99,5,109,5,14,159,1,759,2342,Peaceful Area
AMBEDKAR NAGAR,430,403,167,533,486,19,216,508,1343,610,56,1911,151,111,919,599,3316,12268,Peaceful Area
AMRAVATI COMMR.,292,326,236,225,192,49,505,2850,9697,640,158,4873,36,233,909,838,9146,32826,Peaceful Area
AMRELI,295,132,96,585,555,25,183,1305,2112,150,116,3518,9,30,1514,1269,15119,27751,Peaceful Area
AMRITSAR,470,442,135,349,277,16,113,1090,2525,2049,33,1906,53,23,641,987,4503,15878,Peaceful Area
AMRITSAR RURAL,180,188,68,146,110,5,20,275,479,520,25,741,21,8,172,480,1108,4567,Peaceful Area
ANANTNAG,407,491,155,941,867,26,166,1544,1430,358,302,262,0,417,18,289,7228,16464,Peaceful Area
ANDAMAN,118,41,92,73,61,4,63,708,918,196,80,910,3,37,97,32,3638,7377,Peaceful Area
ANJAW,3,1,1,1,1,0,0,11,12,1,0,19,0,0,2,12,20,85,Peaceful Area
ANUPPUR,281,98,390,59,49,16,131,911,990,151,61,2147,66,37,350,231,7087,13866,Peaceful Area
ARIYALUR,138,156,74,136,109,4,37,192,517,65,44,1544,9,12,53,531,6215,10219,Peaceful Area
ARWAL,333,418,31,148,68,59,97,188,648,118,87,1257,157,0,99,303,3050,7673,Peaceful Area
ASANSOL,395,94,179,282,189,46,173,98,3153,364,23,843,112,15,2563,1094,8614,19677,Peaceful Area
ASHOK NAGAR,288,261,466,65,55,12,123,1007,1334,116,106,8174,86,76,339,573,8392,22932,Peaceful Area
AURAIYA,484,402,118,584,408,50,211,292,1044,332,69,1526,262,91,342,1490,4032,12106,Peaceful Area
