DISTRICT,Murder,Rape,Kidnapping and Abduction,Dacoity,Robbery,Arson,Hurt,Prevention of atrocities (POA) Act,Protection of Civil Rights (PCR) Act,Other Crimes Against SCs,Area
24 PARGANAS NORTH,0,0,0,0,0,0,1,10,0,11,Peaceful Area
24 PARGANAS SOUTH,0,0,0,0,0,0,0,2,0,5,Peaceful Area
A and N ISLANDS,0,0,0,0,0,0,0,0,0,0,Peaceful Area
ADILABAD,5,47,9,0,0,3,60,176,39,347,Peaceful Area
AHWA-DANG,0,0,0,0,0,0,0,1,0,1,Peaceful Area
AIZAWL,0,0,0,0,0,0,0,0,0,0,Peaceful Area
AKOLA,7,27,1,0,4,1,9,72,6,97,Peaceful Area
ALAPUZHA,4,34,2,0,1,0,121,108,0,133,Peaceful Area
ALIRAJPUR,1,0,0,0,0,0,0,0,0,1,Peaceful Area
ALMORA,0,1,0,0,0,0,0,46,0,3,Peaceful Area
AMBALA,6,7,6,0,0,0,55,45,0,29,Peaceful Area
AMBALA RURAL,0,0,0,0,0,0,0,0,0,1,Peaceful Area
AMBALA URBAN,0,0,0,0,0,0,1,0,0,4,Peaceful Area
AMRAVATI COMMR.,1,22,2,1,1,1,0,52,13,50,Peaceful Area
AMRAVATI RURAL,6,35,5,1,1,0,12,62,10,108,Peaceful Area
AMRELI,8,6,7,1,3,3,81,196,0,194,Peaceful Area
AMRITSAR,1,4,2,0,0,0,4,26,1,4,Peaceful Area
AMRITSAR RURAL,2,2,0,0,0,0,1,7,0,4,Peaceful Area
ANAND,2,7,13,1,0,2,45,217,28,113,Peaceful Area
ANANTNAG,0,0,0,0,0,0,0,0,0,0,Peaceful Area
ANDAMAN,0,0,0,0,0,0,0,0,0,0,Peaceful Area
ANJAW,0,0,0,0,0,0,0,0,0,0,Peaceful Area
ANUPPUR,6,14,6,0,1,2,9,0,0,68,Peaceful Area
ARIYALUR,0,1,0,0,0,0,10,105,0,0,Peaceful Area
ARWAL,0,0,0,0,0,2,0,101,0,4,Peaceful Area
ASANSOL,0,1,0,0,0,0,2,3,0,4,Peaceful Area
AURANGABAD COMMR.,6,9,4,3,1,2,9,46,7,59,Peaceful Area
AURANGABAD RURAL,9,11,3,2,2,11,22,83,4,167,Peaceful Area
AWANTIPORA,0,0,0,0,0,0,0,0,0,0,Peaceful Area
BADDIPOLICEDIST,0,0,0,0,0,0,0,4,0,2,Peaceful Area
BAGAHA,0,1,0,0,0,1,69,341,34,60,Peaceful Area
BAGESHWAR,1,0,0,0,0,0,15,43,0,3,Peaceful Area
BAGHPAT,18,10,23,0,1,2,6,37,0,92,Peaceful Area
BAKSA,0,0,0,0,0,0,0,0,0,0,Peaceful Area
BALAGHAT,14,46,4,0,0,1,143,76,0,142,Peaceful Area
BALOD,0,2,0,0,0,0,0,0,0,3,Peaceful Area
BALODA BAZAR,0,5,0,0,0,1,7,0,0,11,Peaceful Area
BALRAMPUR,18,22,4,0,0,6,31,291,0,128,Peaceful Area
BANDIPORA,0,0,0,0,0,0,0,0,0,0,Peaceful Area
BANKA,1,1,0,0,0,0,66,241,0,68,Peaceful Area
BANKURA,0,3,0,0,0,0,10,28,1,29,Peaceful Area
BANSWARA,1,6,2,0,0,1,48,16,0,51,Peaceful Area
BARAGARH,5,28,5,1,1,5,119,170,0,114,Peaceful Area
BARAMULLA,0,0,0,0,0,0,0,0,0,0,Peaceful Area
BARNALA,0,1,0,0,0,0,0,11,0,13,Peaceful Area
BARPETA,0,0,0,0,0,0,0,0,0,0,Peaceful Area
BARWANI,4,21,4,0,0,2,110,13,0,120,Peaceful Area
BASKA,0,0,0,0,0,0,0,0,0,0,Peaceful Area
BATALA,3,1,1,0,1,0,2,14,0,9,Peaceful Area
BDN CP,0,0,0,0,0,0,1,0,0,1,Peaceful Area
BELGAUM,14,11,0,0,0,0,0,565,2,0,Peaceful Area
BEMETARA,0,0,0,0,0,0,0,0,0,3,Peaceful Area
BERHAMPUR,0,8,2,0,0,2,23,147,0,86,Peaceful Area
BHABHUA,5,3,0,2,1,7,80,255,0,25,Peaceful Area
BHANDARA,9,31,1,2,0,3,18,54,6,144,Peaceful Area
BHARUCH,3,3,3,2,2,0,22,105,0,20,Peaceful Area
BHATINDA,2,13,0,0,0,0,12,55,0,40,Peaceful Area
BHIM NAGAR,6,7,4,0,0,0,2,0,0,45,Peaceful Area
BHIWANI,4,35,15,0,0,1,7,7,0,76,Peaceful Area
BHOPAL RLY.,4,2,1,0,0,0,2,14,0,10,Peaceful Area
BIDAR,10,9,8,1,0,4,79,305,2,92,Peaceful Area
BIEO,0,0,0,0,0,0,0,0,0,0,Peaceful Area
BIRBHUM,0,6,0,0,0,0,1,2,0,4,Peaceful Area
BISHNUPUR,0,0,0,0,0,0,0,0,0,0,Peaceful Area
BIZAPUR,1,2,0,0,0,0,1,4,0,4,Peaceful Area
BKP CP,0,0,0,0,0,0,0,0,0,0,Peaceful Area
BOKARO,0,0,0,0,0,0,2,35,0,175,Peaceful Area
BONGAIGAON,0,0,0,0,0,2,18,0,0,25,Peaceful Area
BORDER,0,0,0,0,0,0,0,0,0,0,Peaceful Area
BORDER DISTRICT,0,0,0,0,0,0,0,0,0,0,Peaceful Area
BOUDH,3,7,0,0,2,2,88,148,0,74,Peaceful Area
BUDGAM,0,0,0,0,0,0,0,0,0,0,Peaceful Area
BUNDI,13,29,7,0,2,1,100,77,0,660,Peaceful Area
BURDWAN,0,1,1,0,0,0,4,19,0,31,Peaceful Area
BURHANPUR,6,6,0,0,0,0,12,0,0,67,Peaceful Area
BUXAR,4,4,0,0,0,8,71,365,59,19,Peaceful Area
C.B.KASHMIR,0,0,0,0,0,0,0,0,0,0,Peaceful Area
C.I.D.,0,0,0,0,0,0,0,0,0,0,Peaceful Area
CACHAR,0,0,0,0,0,0,0,2,0,3,Peaceful Area
CAR,0,0,0,0,0,0,0,0,0,0,Peaceful Area
CAW,0,0,0,0,0,0,0,2,0,0,Peaceful Area
CBCID,0,1,0,0,0,0,1,1,0,2,Peaceful Area
CBPURA,0,0,0,0,0,0,0,236,0,236,Peaceful Area
CENTRAL,0,0,0,0,0,0,0,11,0,0,Peaceful Area
CHAIBASA,0,0,0,0,0,0,0,3,0,3,Peaceful Area
CHAMARAJNAGAR,0,2,0,0,0,0,0,230,0,244,Peaceful Area
CHAMBA,0,0,0,1,2,0,0,39,0,24,Peaceful Area
CHAMOLI,0,2,0,0,0,1,2,32,0,3,Peaceful Area
CHAMPAWAT,0,1,0,0,0,0,1,14,0,0,Peaceful Area
CHAMPHAI,0,0,0,0,0,0,0,0,0,0,Peaceful Area
CHANDEL,0,0,0,0,0,0,0,0,0,0,Peaceful Area
CHANDIGARH,0,2,0,0,0,0,0,6,0,3,Peaceful Area
CHANDOLI,16,14,2,0,1,2,24,289,21,65,Peaceful Area
CHANDRAPUR,3,27,8,2,2,0,3,31,4,116,Peaceful Area
CHANGLANG,0,0,0,0,0,0,0,0,0,0,Peaceful Area
CHATRA,1,1,0,0,0,0,3,59,0,9,Peaceful Area
CHENGAI,6,3,0,0,0,0,16,21,159,2,Peaceful Area
CHENNAI,0,1,1,0,0,0,0,122,1,7,Peaceful Area
CHENNAI RLY.,0,0,0,0,0,0,0,7,0,1,Peaceful Area
CHENNAISUBURBAN,3,4,0,0,0,0,1,12,0,0,Peaceful Area
CHHINDWARA,12,103,6,0,1,0,65,0,0,304,Peaceful Area
CHIRANG,0,0,0,0,0,0,0,0,0,0,Peaceful Area
CHURACHANDPUR,0,0,0,0,0,0,0,0,0,0,Peaceful Area
CID,0,0,0,0,0,0,0,0,0,0,Peaceful Area
CID CRIME,1,0,0,0,0,0,0,0,0,0,Peaceful Area
COIMBATORE URBAN,2,2,0,0,0,0,1,109,0,14,Peaceful Area
COOCHBEHAR,0,0,0,0,0,0,0,1,0,0,Peaceful Area
CP AMRITSAR,0,0,0,0,0,0,2,3,0,2,Peaceful Area
CP JALANDHAR,0,0,0,0,0,0,1,3,0,0,Peaceful Area
CP LUDHIANA,1,1,0,0,0,0,3,2,0,5,Peaceful Area
CRIME BRANCH,0,0,0,0,0,0,0,2,0,0,Peaceful Area
CRIME JAMMU,0,0,0,0,0,0,0,0,0,0,Peaceful Area
CRIME SRINAGAR,0,0,0,0,0,0,0,0,0,0,Peaceful Area
CSM NAGAR,4,18,4,1,0,5,6,173,0,3,Peaceful Area
CUDDALORE,11,4,2,1,0,3,65,435,2,83,Peaceful Area
D and N HAVELI,0,0,2,0,0,0,0,0,0,5,Peaceful Area
DAKSHIN DINAJPUR,0,0,0,0,0,0,0,0,0,2,Peaceful Area
DAKSHIN KANNADA,7,20,1,0,0,0,8,279,0,118,Peaceful Area
DAMAN,0,0,0,0,0,0,0,0,0,5,Peaceful Area
