DISTRICT,Murder,Rape,Kidnapping Abduction,Dacoity,Robbery,Arson,Hurt,Protection of Civil Rights (PCR) Act,Prevention of atrocities (POA) Act,Other Crimes Against STs,Area
24 PARGANAS NORTH,0,3,1,0,0,0,0,0,10,7,Peaceful Area
24 PARGANAS SOUTH,0,0,0,0,0,0,0,0,0,0,Peaceful Area
A and N ISLANDS,0,0,0,0,0,0,0,0,0,1,Peaceful Area
AGRA,0,1,0,0,0,0,0,0,0,6,Peaceful Area
AHMEDABAD COMMR.,3,3,11,0,2,0,1,0,13,8,Peaceful Area
AHMEDABAD RURAL,2,5,2,0,0,0,5,0,13,8,Peaceful Area
AHWA-DANG,0,2,0,0,0,0,0,0,1,2,Peaceful Area
AIZAWL,0,0,0,0,2,0,0,0,0,0,Peaceful Area
AJMER,1,6,1,0,0,1,5,0,4,144,Peaceful Area
AKOLA,0,4,0,0,0,1,2,0,5,25,Peaceful Area
ALAPUZHA,0,1,0,0,0,0,2,0,0,4,Peaceful Area
ALIGARH,2,0,0,0,0,0,0,0,0,29,Peaceful Area
ALIRAJPUR,1,9,1,0,0,0,3,0,0,9,Peaceful Area
ALLAHABAD,1,0,0,0,0,0,0,0,18,0,Peaceful Area
ALMORA,0,0,0,0,0,0,0,0,0,0,Peaceful Area
AMBALA,0,0,0,0,0,0,0,0,0,0,Peaceful Area
AMBALA RURAL,0,0,0,0,0,0,0,0,0,0,Peaceful Area
AMBALA URBAN,0,0,0,0,0,0,0,0,0,0,Peaceful Area
AMBEDKAR NAGAR,0,0,0,0,0,0,0,0,0,14,Peaceful Area
AMRAVATI COMMR.,0,5,0,0,0,0,2,0,8,10,Peaceful Area
AMRAVATI RURAL,4,41,3,0,1,1,4,0,13,61,Peaceful Area
AMRELI,0,1,0,0,1,0,4,0,1,7,Peaceful Area
AMRITSAR,0,0,0,0,0,0,0,0,0,0,Peaceful Area
AMRITSAR RURAL,0,0,0,0,0,0,0,0,0,0,Peaceful Area
ANAND,2,4,3,0,0,0,5,1,9,7,Peaceful Area
ANANTNAG,0,0,0,0,0,0,0,0,0,0,Peaceful Area
ANDAMAN,1,2,1,0,0,0,1,0,5,23,Peaceful Area
ANJAW,0,0,0,0,0,0,0,0,0,0,Peaceful Area
ARARIA,6,8,1,0,0,2,40,0,60,2,Peaceful Area
ARIYALUR,0,0,0,0,0,0,0,0,0,0,Peaceful Area
ARWAL,0,0,0,0,0,0,0,0,0,0,Peaceful Area
ASANSOL,0,0,0,0,0,0,0,0,3,2,Peaceful Area
ASHOK NAGAR,7,28,2,1,0,4,38,0,0,66,Peaceful Area
AURAIYA,0,0,0,0,0,0,0,0,0,12,Peaceful Area
AURANGABAD,0,0,0,0,0,0,0,0,0,9,Peaceful Area
AURANGABAD COMMR.,0,1,0,0,0,0,0,0,0,5,Peaceful Area
AURANGABAD RURAL,3,9,2,0,1,5,2,0,9,27,Peaceful Area
AWANTIPORA,0,0,0,0,0,0,0,0,0,0,Peaceful Area
AZAMGARH,0,0,0,0,0,0,0,0,0,7,Peaceful Area
BADAUN,0,0,0,0,0,0,0,0,0,0,Peaceful Area
BADDIPOLICEDIST,0,0,0,0,0,0,0,0,1,0,Peaceful Area
BAGAHA,0,0,0,0,0,0,0,6,9,0,Peaceful Area
BAGALKOT,7,4,2,0,0,1,27,0,92,59,Peaceful Area
BAGESHWAR,0,0,0,0,0,0,0,0,0,0,Peaceful Area
BAGHPAT,0,0,0,0,0,0,0,0,0,0,Peaceful Area
BAHRAICH,0,0,0,0,0,0,0,0,5,5,Peaceful Area
BAKSA,0,0,0,0,0,0,0,0,0,0,Peaceful Area
BALLIA,0,0,0,0,0,0,0,0,0,0,Peaceful Area
BALOD,0,5,0,0,0,0,0,0,0,3,Peaceful Area
BALODA BAZAR,0,3,0,0,0,0,3,0,0,4,Peaceful Area
BANDA,0,0,0,0,0,0,0,0,0,10,Peaceful Area
BANDIPORA,0,0,0,0,0,0,0,0,0,0,Peaceful Area
BANGALORE COMMR.,1,1,0,0,0,0,10,0,3,1,Peaceful Area
BANGALORE RURAL,0,0,0,0,0,0,11,8,63,12,Peaceful Area
BANKA,0,0,0,0,0,0,6,0,22,7,Peaceful Area
BANKURA,0,1,0,0,0,0,1,0,5,9,Peaceful Area
BARABANKI,0,0,0,0,0,1,0,0,0,2,Peaceful Area
BARAMULLA,0,0,0,0,0,0,0,0,0,0,Peaceful Area
BAREILLY,0,1,0,0,0,0,0,0,0,7,Peaceful Area
BARNALA,0,0,0,0,0,0,0,0,0,0,Peaceful Area
BARPETA,0,0,0,0,0,0,0,0,0,0,Peaceful Area
BASKA,0,0,0,0,0,0,0,0,0,0,Peaceful Area
BASTI,0,0,0,0,0,0,0,0,0,0,Peaceful Area
BATALA,0,0,0,0,0,0,0,0,0,0,Peaceful Area
BDN CP,0,0,0,0,0,0,0,0,0,0,Peaceful Area
BEED,4,4,0,1,0,3,4,0,1,27,Peaceful Area
BEGUSARAI,0,0,0,0,0,0,0,0,2,0,Peaceful Area
BELGAUM,7,7,0,0,0,0,0,0,121,0,Peaceful Area
BEMETARA,0,1,0,0,0,0,0,0,0,1,Peaceful Area
BERHAMPUR,0,1,0,0,0,0,1,0,14,4,Peaceful Area
BETTIAH,0,0,0,0,0,0,0,0,30,0,Peaceful Area
BHABHUA,0,0,0,0,0,0,0,0,54,3,Peaceful Area
BHADRAK,0,4,0,0,0,0,1,0,26,1,Peaceful Area
BHAGALPUR,1,1,1,0,0,0,9,0,24,9,Peaceful Area
BHANDARA,2,9,1,0,0,0,0,0,5,24,Peaceful Area
BHATINDA,0,0,0,0,0,0,0,0,0,0,Peaceful Area
BHAVNAGAR,0,3,2,0,0,1,1,0,2,12,Peaceful Area
BHIM NAGAR,0,0,0,0,0,0,0,0,0,0,Peaceful Area
BHIND,2,2,0,0,0,0,0,0,0,30,Peaceful Area
BHIWANI,0,0,0,0,0,0,0,0,0,0,Peaceful Area
BHOJPUR,0,0,0,0,0,0,0,0,0,0,Peaceful Area
BHOPAL,2,37,2,0,0,1,14,0,74,96,Peaceful Area
BHOPAL RLY.,0,1,0,0,0,0,0,0,1,0,Peaceful Area
BIDAR,0,1,0,0,0,0,2,0,14,9,Peaceful Area
BIEO,0,0,0,0,0,0,0,0,0,0,Peaceful Area
BIJAPUR,0,1,0,0,0,1,22,0,29,47,Peaceful Area
BIJNOR,0,0,0,0,0,0,0,0,0,3,Peaceful Area
BIKANER,0,2,0,0,0,0,0,0,4,38,Peaceful Area
BIRBHUM,2,6,0,0,0,0,2,0,7,13,Peaceful Area
BISHNUPUR,0,1,0,0,0,0,0,0,0,0,Peaceful Area
BIZAPUR,0,3,0,0,0,0,1,0,13,18,Peaceful Area
BKP CP,0,0,0,0,0,0,0,0,2,0,Peaceful Area
BOKARO,0,0,0,0,0,0,0,3,19,12,Peaceful Area
BONGAIGAON,0,0,0,0,0,0,7,0,0,0,Peaceful Area
BORDER,0,0,0,0,0,0,0,0,0,0,Peaceful Area
BORDER DISTRICT,0,0,0,0,0,0,0,0,0,0,Peaceful Area
BOUDH,0,2,0,0,0,1,34,0,41,3,Peaceful Area
BUDGAM,0,0,0,0,0,0,0,0,0,0,Peaceful Area
BULANDSHAHAR,0,0,0,0,0,0,0,0,0,0,Peaceful Area
BULDHANA,3,14,1,0,1,0,1,0,6,32,Peaceful Area
