DISTRICT,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls,Area type
A and N ISLANDS,3,9,1,21,2,18,0,Peaceful Area
AHMEDABAD RURAL,85,430,12,253,1,1217,0,Peaceful Area
AHWA-DANG,29,5,1,29,1,71,0,Peaceful Area
AIZAWL,345,1,0,362,2,36,0,Peaceful Area
ALIRAJPUR,145,61,3,136,2,28,0,Peaceful Area
ALMORA,49,38,70,57,20,83,0,Peaceful Area
AMBALA,237,252,109,235,188,1806,0,Peaceful Area
AMBALA RURAL,11,19,7,12,4,73,0,Peaceful Area
AMBALA URBAN,21,39,5,23,14,159,0,Peaceful Area
AMBEDKAR NAGAR,167,486,151,173,111,919,0,Peaceful Area
AMRAVATI COMMR.,236,192,36,488,233,909,0,Peaceful Area
AMRELI,96,555,9,272,30,1514,0,Peaceful Area
AMRITSAR,135,277,53,129,23,641,0,Peaceful Area
AMRITSAR RURAL,68,110,21,45,8,172,0,Peaceful Area
ANAND,117,449,1,300,29,2022,0,Peaceful Area
ANANTNAG,155,867,0,948,417,18,0,Peaceful Area
ANDAMAN,92,61,3,168,37,97,0,Peaceful Area
ANJAW,1,1,0,0,0,2,0,Peaceful Area
ANUPPUR,390,49,66,657,37,350,0,Peaceful Area
ARIYALUR,74,109,9,241,12,53,0,Peaceful Area
ARWAL,31,68,157,64,0,99,0,Peaceful Area
ASANSOL,179,189,112,206,15,2563,0,Peaceful Area
ASHOK NAGAR,466,55,86,1091,76,339,0,Peaceful Area
AURAIYA,118,408,262,187,91,342,0,Peaceful Area
AURANGABAD COMMR.,224,225,66,544,236,1541,0,Peaceful Area
AWANTIPORA,52,179,0,243,40,5,0,Peaceful Area
BADDIPOLICEDIST,27,30,1,25,1,38,0,Peaceful Area
BAGAHA,225,323,80,148,0,169,0,Peaceful Area
BAGALKOT,86,126,37,604,11,712,2,Peaceful Area
BAGESHWAR,46,18,35,31,10,31,0,Peaceful Area
BAGHPAT,173,421,188,185,188,784,0,Peaceful Area
BAKSA,33,50,3,4,0,15,0,Peaceful Area
BALLIA,99,299,216,158,155,339,0,Peaceful Area
BALOD,22,6,4,50,1,9,0,Peaceful Area
BALODA BAZAR,45,18,0,98,10,37,0,Peaceful Area
BANDIPORA,16,237,0,348,37,3,0,Peaceful Area
BANKA,447,354,235,52,2,253,0,Peaceful Area
BARAGARH,285,144,101,932,106,938,0,Peaceful Area
BARNALA,141,60,28,98,0,205,0,Peaceful Area
BARWANI,467,58,40,970,101,203,0,Peaceful Area
BASKA,123,197,18,83,0,114,0,Peaceful Area
BASTI,120,285,185,123,316,357,0,Peaceful Area
BATALA,218,147,57,111,0,396,0,Peaceful Area
BDN CP,13,0,9,58,8,320,0,Peaceful Area
BELLARY,150,173,99,729,2,803,1,Peaceful Area
BEMETARA,24,18,3,61,5,29,0,Peaceful Area
BERHAMPUR,153,119,70,1136,71,412,0,Peaceful Area
BHABHUA,143,232,252,74,0,246,2,Peaceful Area
BHANDARA,338,121,36,629,320,786,0,Peaceful Area
BHARUCH,118,259,0,214,24,655,0,Peaceful Area
BHATINDA,302,276,51,264,20,509,0,Peaceful Area
BHIM NAGAR,57,196,56,73,0,125,0,Peaceful Area
BHOPAL RLY.,20,9,16,137,34,11,0,Peaceful Area
BIDAR,105,172,86,712,23,832,0,Peaceful Area
BIEO,0,0,0,0,0,0,0,Peaceful Area
BIJAPUR,155,225,36,883,0,1392,10,Peaceful Area
BISHNUPUR,40,86,0,109,0,21,0,Peaceful Area
BIZAPUR,63,15,1,43,0,19,0,Peaceful Area
BKP CP,36,201,20,88,2,989,0,Peaceful Area
BONGAIGAON,478,508,55,175,0,1101,0,Peaceful Area
BORDER,35,47,0,48,51,12,0,Peaceful Area
BORDER DISTRICT,12,15,3,14,10,7,0,Peaceful Area
BOUDH,89,57,19,516,33,138,0,Peaceful Area
BUDGAM,104,712,0,1079,249,10,0,Peaceful Area
BURHANPUR,174,22,45,478,87,215,0,Peaceful Area
BUXAR,150,281,281,169,1,493,11,Peaceful Area
C.I.D.,4,4,0,0,0,0,0,Peaceful Area
CAR,0,1,0,1,0,0,0,Peaceful Area
CAW,1,0,0,3,0,789,0,Peaceful Area
CBCID,7,2,1,0,0,21,0,Peaceful Area
CBPURA,55,85,44,225,4,229,0,Peaceful Area
CENTRAL,281,665,45,419,131,606,1,Peaceful Area
CHAIBASA,483,135,39,135,7,181,1,Peaceful Area
CHAMARAJNAGAR,88,55,46,527,0,387,1,Peaceful Area
CHAMBA,142,173,8,259,11,117,0,Peaceful Area
CHAMOLI,44,30,27,66,14,27,0,Peaceful Area
CHAMPAWAT,22,24,13,39,3,27,0,Peaceful Area
CHAMPHAI,122,1,0,88,0,0,0,Peaceful Area
CHANDEL,4,3,0,4,0,0,0,Peaceful Area
CHANDIGARH,281,534,42,314,143,807,0,Peaceful Area
CHANDOLI,62,139,172,99,182,512,0,Peaceful Area
CHANGLANG,53,55,1,36,0,23,0,Peaceful Area
CHATRA,170,125,164,20,0,77,0,Peaceful Area
CHENGAI,97,95,91,329,123,319,0,Peaceful Area
CHENNAI RLY.,1,6,7,42,14,8,0,Peaceful Area
CHENNAISUBURBAN,96,58,66,154,194,157,0,Peaceful Area
CHICKMAGALUR,159,114,56,692,59,1035,5,Peaceful Area
CHIRANG,199,246,14,91,0,402,0,Peaceful Area
CHITRADURGA,229,177,73,954,2,648,0,Peaceful Area
CHITRAKOOT DHAM,190,91,136,215,10,130,0,Peaceful Area
CHURACHANDPUR,29,11,0,12,0,2,0,Peaceful Area
CHURU,360,222,133,418,4,2840,0,Peaceful Area
CID,0,0,0,0,0,0,0,Peaceful Area
CID CRIME,2,0,0,0,0,0,0,Peaceful Area
COIMBATORE RURAL,197,389,103,912,219,973,0,Peaceful Area
COIMBATORE URBAN,100,81,42,245,117,570,0,Peaceful Area
CP AMRITSAR,71,122,19,31,5,293,0,Peaceful Area
CP JALANDHAR,70,109,15,63,10,263,0,Peaceful Area
CP LUDHIANA,172,283,33,84,37,363,0,Peaceful Area
CRIME BRANCH,4,1,0,0,0,0,0,Peaceful Area
CRIME JAMMU,0,0,0,0,0,0,0,Peaceful Area
CRIME KASHMIR,0,0,0,0,0,0,0,Peaceful Area
CRIME SRINAGAR,0,0,0,0,0,0,0,Peaceful Area
CSM NAGAR,76,263,42,109,0,118,0,Peaceful Area
D and N HAVELI,56,94,1,50,4,38,0,Peaceful Area
DAHOD,87,389,0,246,1,328,0,Peaceful Area
DAKSHIN KANNADA,127,70,20,479,39,489,0,Peaceful Area
DAMAN,17,11,2,15,1,18,0,Peaceful Area
DANTEWARA,136,60,7,143,9,50,0,Peaceful Area
DARJEELING,400,462,33,486,27,1346,1,Peaceful Area
DATIYA,287,131,122,787,0,333,0,Peaceful Area
DAUSA,185,508,141,273,0,1363,0,Peaceful Area
DAVANAGERE,171,174,106,873,25,1092,0,Peaceful Area
DCP BBSR,202,183,95,274,51,248,0,Peaceful Area
DCP CTC,96,132,41,114,12,439,0,Peaceful Area
DEOGARH,148,65,24,691,26,162,0,Peaceful Area
DEOGHAR,435,69,178,129,49,379,12,Peaceful Area
DEORIA,95,323,287,118,86,308,0,Peaceful Area
DHALAI,220,90,26,211,1,382,0,Peaceful Area
DHAMTARI,334,67,19,667,85,168,0,Peaceful Area
DHANBAD RLY.,12,13,17,43,0,7,0,Peaceful Area
DHARMAPURI,177,433,66,753,66,466,0,Peaceful Area
DHARWAD COMMR.,40,137,31,135,25,426,0,Peaceful Area
DHARWAD RURAL,44,38,26,250,0,198,0,Peaceful Area
