DISTRICT,MURDER,ATTEMPT TO MURDER,RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,DACOITY,ROBBERY,BURGLARY,THEFT,CHEATING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,Area
ADILABAD,1186,869,672,754,570,72,237,2519,3964,1932,395,16392,188,1242,4126,3593,20579,61959,Moderate Area
AHMEDABAD RURAL,414,191,85,466,430,137,349,1318,3592,164,186,4117,12,1,1217,3543,20272,37699,Moderate Area
AHMEDNAGAR,1210,815,653,514,354,477,1543,5248,14405,2023,505,8397,91,28,5571,6858,16686,71762,Moderate Area
AJMER,538,642,516,1256,1112,29,371,3507,8954,7106,190,4138,173,8,5489,4889,37919,77731,Moderate Area
AKOLA,588,576,299,312,281,113,658,3351,10762,1023,421,9586,74,357,1768,1514,14930,49341,Moderate Area
ALAPUZHA,250,337,300,185,132,67,396,2405,3049,2459,255,15835,16,226,2680,17,58637,94788,Moderate Area
ALIGARH,2032,2270,636,2134,1667,176,1201,1875,10393,2768,393,3756,639,361,2754,3103,13804,53786,Moderate Area
ALLAHABAD,1652,1479,430,1425,1163,83,677,2861,9178,2385,189,5073,725,470,2316,3812,20104,57048,Moderate Area
AMRAVATI RURAL,774,411,642,278,258,104,362,3294,10746,486,715,10291,63,394,1501,1996,12649,47756,Moderate Area
ANAND,341,150,117,501,449,101,163,1611,4856,352,200,4669,1,29,2022,2576,21930,41373,Moderate Area
ANANTAPUR,1922,1248,266,839,554,137,244,2536,6079,1445,444,17682,174,622,1645,5058,15861,59927,Moderate Area
ANGUL,598,639,483,337,303,162,619,1379,3750,451,215,549,164,75,686,2084,12902,28700,Moderate Area
ARARIA,705,612,613,901,499,393,552,604,2384,500,291,1843,176,7,480,484,13854,28415,Moderate Area
AURANGABAD,974,827,230,511,396,301,384,1177,2984,743,181,7309,369,2,621,1159,10687,31944,Moderate Area
AURANGABAD COMMR.,418,509,224,302,225,156,998,3181,9008,1705,148,4891,66,236,1541,1686,8632,36372,Moderate Area
AURANGABAD RURAL,640,342,191,138,88,178,455,1973,4738,542,436,8854,328,148,2931,2878,7231,35481,Moderate Area
AZAMGARH,967,730,185,698,576,45,701,982,2082,861,22,3354,324,227,1016,1135,6694,22155,Moderate Area
BADAUN,1742,1906,310,1007,705,92,440,686,2345,637,173,3487,498,243,542,658,11356,27746,Moderate Area
BAHRAICH,573,469,300,765,700,78,235,797,1763,975,127,1965,332,459,447,913,7078,18885,Moderate Area
BALASORE,459,405,661,724,643,149,510,2127,3322,684,277,9038,449,259,1666,12,12476,35784,Moderate Area
BANGALORE RURAL,1579,894,266,430,175,264,739,4268,9055,1256,260,10804,284,2,1149,0,40266,77461,Moderate Area
BANKA,890,365,447,514,354,317,309,778,1371,245,172,2493,235,2,253,373,8025,19347,Moderate Area
BANSWARA,403,223,586,699,647,15,147,880,1358,912,349,11890,75,20,1477,1224,9233,32173,Moderate Area
BARABANKI,753,681,317,898,831,65,308,993,2487,545,59,2993,346,313,1142,1807,9715,25212,Moderate Area
BARAN,403,952,641,810,791,8,142,1368,3655,2076,224,4302,76,33,2610,1111,18468,39385,Moderate Area
BAREILLY,2070,2267,673,1754,1458,191,831,1662,7023,2518,66,4640,595,667,2570,2630,19471,53583,Moderate Area
BARPETA,567,156,910,1366,1230,264,299,1665,2355,438,190,2071,115,4,2424,1407,10333,28180,Moderate Area
BEED,832,643,322,419,259,391,914,3577,7119,925,563,11603,112,129,3542,2933,9117,49141,Moderate Area
BEGUSARAI,1409,1659,228,1109,482,171,775,833,3711,733,183,5020,387,2,540,2199,15538,38025,Moderate Area
BELGAUM,1402,1022,280,513,330,138,654,2948,5130,2430,268,11119,107,41,2342,382,38161,73697,Moderate Area
BETTIAH,906,828,477,1235,597,161,366,993,3835,943,210,14334,324,33,714,938,10813,42395,Moderate Area
BETUL,736,441,1524,253,228,11,209,1856,2504,269,187,4851,185,147,738,1367,19873,37200,Moderate Area
BHAGALPUR,1189,979,465,1122,753,158,560,1610,5256,923,241,4047,220,12,849,1080,16215,38436,Moderate Area
BHARATPUR,983,1001,751,1646,1213,61,377,1002,11888,5860,407,8099,331,1,4103,2549,50404,91034,Moderate Area
BHAVNAGAR,628,371,150,985,867,159,786,3240,8643,1043,346,2624,23,438,2231,42,40473,65714,Moderate Area
BHILWARA,398,532,554,1506,1261,13,513,3119,8828,4844,251,1982,108,17,4770,3095,31450,64635,Moderate Area
BHIND,835,1161,388,291,174,51,771,1991,2922,338,184,10526,403,49,627,1543,18744,42889,Moderate Area
BHIWANI,647,356,309,476,334,76,310,2495,5008,996,199,3138,269,130,1088,70,12055,29979,Moderate Area
BHOJPUR,1422,1286,201,651,406,304,551,1183,3838,852,370,7519,477,7,1165,1485,16174,40506,Moderate Area
BIJNOR,1078,737,365,955,801,58,426,653,2934,1683,57,3313,297,664,2144,1983,7214,26305,Moderate Area
BIKANER,478,982,466,395,346,8,103,1601,4328,4237,185,6008,183,0,3447,2275,19958,45708,Moderate Area
BILASPUR,1209,675,894,419,351,53,651,6811,9214,853,498,14499,214,169,1618,2797,32372,78277,Moderate Area
BIRBHUM,908,471,620,532,422,82,309,173,3675,392,181,2768,176,2,2629,2131,6978,26222,Moderate Area
BOKARO,718,502,465,555,484,320,539,1364,6705,684,78,1360,259,11,792,445,13168,30448,Moderate Area
BULANDSHAHAR,1974,1707,404,1317,1049,74,670,853,4610,1622,81,2073,483,1021,2386,2882,13332,38157,Moderate Area
BULDHANA,635,535,381,269,223,170,415,2541,8596,960,795,9240,320,406,2422,2409,12853,47189,Moderate Area
BUNDI,273,830,455,1057,878,15,177,1424,3382,1976,190,9853,51,13,2819,1399,15014,41281,Moderate Area
BURDWAN,1290,397,796,864,551,142,407,247,6629,1227,128,1709,370,14,5160,5109,22351,52305,Moderate Area
BUXAR,680,946,150,571,281,304,408,848,2912,595,252,3694,281,1,493,852,6237,22097,Moderate Area
CACHAR,695,250,784,1591,1370,323,242,2572,5861,710,558,2856,108,1,4172,2681,19550,48300,Moderate Area
CHANDRAPUR,613,327,469,262,219,80,379,3480,8285,713,539,7347,62,857,1617,2737,13706,44498,Moderate Area
CHHATARPUR,717,822,744,305,248,28,579,3472,2739,361,262,6614,264,152,745,1313,29142,51353,Moderate Area
CHHINDWARA,846,385,1345,213,187,14,209,2164,3134,469,227,15147,160,376,1344,1900,21210,52310,Moderate Area
CHITTOOR,1270,739,368,907,531,96,207,2777,11077,2694,419,13543,262,2179,3283,8168,24575,75471,Moderate Area
CHITTORGARH,512,506,738,1709,1389,23,385,2857,6881,3523,438,19974,78,22,5473,2393,18445,67568,Moderate Area
CHURU,339,424,360,388,222,10,53,1155,2357,3335,164,7861,133,4,2840,1530,11938,33949,Moderate Area
COIMBATORE RURAL,816,662,197,524,389,104,592,2861,10673,1139,174,13866,103,219,973,8862,53511,99023,Moderate Area
COOCHBEHAR,485,577,1217,1130,1036,42,90,118,2288,433,81,1268,139,12,3925,1065,11463,26418,Moderate Area
CUDDALORE,720,1368,294,630,534,39,281,1382,5424,269,429,10813,105,408,470,4918,57162,87567,Moderate Area
CUDDAPAH,1196,506,298,653,522,39,106,1549,4530,1894,337,14301,146,538,1790,4815,21993,58147,Moderate Area
CUTTACK,468,816,422,577,508,169,1134,2615,5931,831,232,1301,409,60,1382,3061,19987,40902,Moderate Area
DAMOH,565,684,567,195,137,16,284,1640,1828,187,177,14382,310,0,828,718,10234,34789,Moderate Area
DARBHANGA,767,1423,583,1104,672,261,341,855,3464,1626,340,3814,396,4,1648,1270,21879,45383,Moderate Area
DARRANG,471,122,784,1079,941,165,188,1291,2036,482,186,3235,60,5,1645,1125,5432,20878,Moderate Area
DAUSA,355,262,185,758,508,11,151,1071,7905,2697,181,1099,141,0,1363,2443,30684,51097,Moderate Area
DEHRADUN,424,508,284,641,555,52,361,1519,5234,2025,50,2325,101,631,1224,1687,5681,24859,Moderate Area
