DISTRICT,Murder,Rape,Kidnapping and Abduction,Dacoity,Robbery,Arson,Hurt,Prevention of atrocities (POA) Act,Protection of Civil Rights (PCR) Act,Other Crimes Against SCs,Area
AHMEDABAD COMMR.,32,46,38,7,17,2,122,323,10,201,Moderate Area
AHMEDABAD RURAL,6,12,7,5,8,9,148,388,1,239,Moderate Area
AHMEDNAGAR,11,30,6,1,4,13,35,100,13,194,Moderate Area
AJMER,18,51,22,0,3,8,65,128,0,1346,Moderate Area
AMBEDKAR NAGAR,26,34,19,0,1,3,28,491,2,80,Moderate Area
ANANTAPUR,12,33,1,0,1,17,403,608,20,474,Moderate Area
ANGUL,17,26,4,1,0,13,124,329,0,464,Moderate Area
ARARIA,12,27,9,0,0,34,219,296,0,166,Moderate Area
ASHOK NAGAR,26,77,3,2,2,21,267,0,0,418,Moderate Area
AURAIYA,27,19,19,2,1,9,89,1,1,413,Moderate Area
AURANGABAD,16,9,8,3,3,1,439,625,0,80,Moderate Area
BADAUN,73,43,17,0,3,11,23,296,2,99,Moderate Area
BAGALKOT,17,16,10,4,3,4,102,427,1,313,Moderate Area
BAHRAICH,25,35,14,0,0,4,1,782,0,659,Moderate Area
BALASORE,5,50,8,0,5,13,389,578,0,170,Moderate Area
BALLIA,14,19,11,2,0,17,68,243,32,270,Moderate Area
BANDA,45,74,21,0,5,16,70,651,0,615,Moderate Area
BANGALORE COMMR.,12,15,4,0,1,1,76,1192,86,36,Moderate Area
BANGALORE RURAL,15,7,1,3,0,0,112,1067,28,401,Moderate Area
BARAN,11,74,24,0,1,3,47,213,6,612,Moderate Area
BARMER,18,25,1,0,1,7,3,394,0,1202,Moderate Area
BASTI,19,25,4,0,0,6,8,607,0,260,Moderate Area
BEED,19,26,4,6,6,19,38,70,4,234,Moderate Area
BEGUSARAI,6,3,5,0,0,0,237,1270,26,154,Moderate Area
BELLARY,3,2,0,0,0,0,0,596,83,152,Moderate Area
BETTIAH,13,3,0,0,0,0,316,523,0,50,Moderate Area
BETUL,22,94,6,0,3,2,110,0,1,322,Moderate Area
BHADRAK,4,8,1,0,0,3,123,628,0,73,Moderate Area
BHAGALPUR,7,15,12,0,1,7,97,706,0,385,Moderate Area
BHAVNAGAR,11,16,7,0,15,13,126,183,0,288,Moderate Area
BHILWARA,16,53,0,0,0,22,7,676,0,813,Moderate Area
BHOJPUR,5,5,3,0,0,7,99,866,18,72,Moderate Area
BHOPAL,23,148,13,0,0,0,103,614,0,664,Moderate Area
BIJAPUR,27,31,8,1,2,3,384,686,3,239,Moderate Area
BILASPUR,39,50,8,1,4,7,83,171,8,556,Moderate Area
BOLANGIR,11,30,5,0,23,10,128,300,0,113,Moderate Area
BULDHANA,10,36,6,2,4,4,23,90,0,210,Moderate Area
CHICKMAGALUR,9,19,0,1,1,0,23,503,1,338,Moderate Area
CHITRADURGA,18,18,4,1,2,1,144,344,50,173,Moderate Area
CHITRAKOOT DHAM,28,57,4,0,1,3,12,403,1,105,Moderate Area
CHITTOOR,29,37,0,0,0,8,357,341,6,615,Moderate Area
CHITTORGARH,7,57,18,0,0,10,2,318,0,976,Moderate Area
CHURU,30,75,17,0,0,2,1385,30,0,268,Moderate Area
COIMBATORE RURAL,17,7,0,0,0,0,87,610,13,171,Moderate Area
CUDDAPAH,14,22,12,0,0,3,451,280,8,747,Moderate Area
CUTTACK,1,20,0,0,0,11,22,999,0,194,Moderate Area
CYBERABAD,22,48,20,4,5,8,188,943,79,340,Moderate Area
DAHOD,1,2,0,22,30,0,13,13,0,40,Moderate Area
DAMOH,35,51,7,0,3,7,434,435,0,240,Moderate Area
DARBHANGA,1,1,0,0,0,0,11,1399,0,0,Moderate Area
DAUSA,8,27,7,0,1,14,6,24,0,1101,Moderate Area
DCP CTC,0,12,23,10,0,1,25,68,0,0,Moderate Area
DEORIA,15,20,14,0,0,8,54,297,0,276,Moderate Area
DHENKANAL,12,14,12,0,7,19,213,684,3,272,Moderate Area
DHOLPUR,20,44,25,1,8,16,372,627,0,823,Moderate Area
DHULE,5,6,5,8,5,0,18,75,1,95,Moderate Area
EAST GODAVARI,33,57,13,0,0,4,315,457,366,797,Moderate Area
ETAWAH,43,31,41,1,6,9,78,111,0,475,Moderate Area
FAIZABAD,43,61,26,0,0,7,22,842,0,99,Moderate Area
FATEHGARH,50,23,31,0,2,6,49,201,1,401,Moderate Area
GANDHINAGAR,4,17,8,1,5,6,189,0,1,174,Moderate Area
GANJAM,20,24,12,2,4,14,174,564,0,148,Moderate Area
GARHWA,1,19,6,4,0,0,97,221,0,183,Moderate Area
GAYA,22,16,13,5,25,20,154,1059,0,220,Moderate Area
GHAZIPUR,25,17,12,0,1,18,32,301,31,378,Moderate Area
GONDA,29,37,13,2,3,28,59,924,0,294,Moderate Area
GOPALGANJ,3,0,6,0,0,17,42,610,9,8,Moderate Area
GORAKHPUR,52,57,37,0,2,6,27,1270,44,407,Moderate Area
GULBARGA,42,12,17,3,0,5,436,1342,25,928,Moderate Area
GUNTUR,33,61,1,0,0,11,500,230,10,985,Moderate Area
HAMIRPUR,35,42,10,6,4,6,38,609,0,229,Moderate Area
HATHRAS,42,50,29,3,4,11,44,69,2,442,Moderate Area
HIMATNAGAR,7,4,8,3,4,2,103,106,0,191,Moderate Area
HOSHANGABAD,18,77,9,0,9,6,564,0,0,274,Moderate Area
HYDERABAD CITY,3,24,8,0,0,0,9,827,27,395,Moderate Area
INDORE,23,82,22,0,0,4,256,22,0,730,Moderate Area
JABALPUR,36,119,12,0,1,3,161,325,0,295,Moderate Area
JAIPUR,5,42,13,0,0,21,16,810,1,376,Moderate Area
JAIPUR RURAL,14,39,0,0,0,24,17,37,0,1137,Moderate Area
JALAUN,53,18,13,2,3,5,21,93,0,691,Moderate Area
JALGAON,4,29,7,11,1,1,19,97,1,192,Moderate Area
JALNA,11,14,2,6,1,8,24,88,8,166,Moderate Area
JAMNAGAR,8,22,11,1,12,5,119,121,0,293,Moderate Area
JAMSHEDPUR,14,16,10,5,2,2,166,72,1,275,Moderate Area
JAMUI,19,14,4,4,5,6,204,360,29,60,Moderate Area
JAUNPUR,29,32,25,0,3,13,86,652,7,329,Moderate Area
JEHANABAD,23,7,0,5,4,4,32,317,6,28,Moderate Area
JHANSI,64,31,19,1,0,7,54,492,0,95,Moderate Area
JHUNJHUNU,25,51,1,0,0,16,247,226,0,1099,Moderate Area
JODHPUR,8,22,2,0,0,14,494,375,0,48,Moderate Area
JODHPUR RURAL,4,23,0,0,0,1,807,30,0,4,Moderate Area
JUNAGADH,15,19,28,3,24,4,180,135,0,614,Moderate Area
KANNAUJ,42,18,17,1,2,15,25,16,0,654,Moderate Area
KANPUR DEHAT,29,25,32,0,4,12,63,56,7,667,Moderate Area
KARAULI,14,36,0,0,0,20,6,292,0,1364,Moderate Area
KARIMNAGAR,35,52,30,3,1,5,496,1158,33,1518,Moderate Area
KAUSHAMBI,56,61,15,0,0,6,69,77,0,347,Moderate Area
KENDRAPARA,3,25,2,0,0,6,104,500,0,103,Moderate Area
KHAMMAM,11,55,5,0,0,1,109,210,5,462,Moderate Area
KHEDA NORTH,5,5,22,8,3,8,43,309,0,103,Moderate Area
KHURDA,2,25,6,0,0,11,249,645,1,217,Moderate Area
KOLAR,25,36,1,0,0,0,9,766,12,780,Moderate Area
KOLHAPUR,2,24,3,7,3,4,22,106,38,192,Moderate Area
KRISHNA,29,30,11,0,0,3,197,457,376,870,Moderate Area
KURNOOL,49,41,8,1,0,10,622,1176,28,1515,Moderate Area
KUSHI NAGAR,25,28,31,0,0,8,111,174,10,480,Moderate Area
KUTCH,8,12,19,4,4,2,279,50,0,356,Moderate Area
LALITPUR,16,31,13,1,3,5,21,306,0,133,Moderate Area
LATUR,11,24,12,2,1,2,26,86,37,233,Moderate Area
MADHEPURA,14,15,8,2,10,11,32,369,4,49,Moderate Area
MADHUBANI,4,6,5,1,1,11,241,1196,147,163,Moderate Area
MADURAI RURAL,7,13,0,0,0,19,123,909,6,91,Moderate Area
MAHARAJGANJ,11,35,17,0,0,1,1,592,0,34,Moderate Area
MAHOBA,31,27,17,1,1,2,19,432,0,220,Moderate Area
MATHURA,51,32,14,1,5,11,63,207,27,945,Moderate Area
MAU,25,27,23,0,2,8,105,220,111,416,Moderate Area
MEDAK,23,50,4,0,0,1,83,681,7,564,Moderate Area
MEHSANA,5,16,13,3,10,7,129,222,0,488,Moderate Area
MIRZAPUR,27,23,12,0,0,1,11,529,0,118,Moderate Area
MOTIHARI,18,11,0,0,0,1,297,1036,2,240,Moderate Area
MUZAFFARPUR,1,3,0,0,0,3,194,934,0,1,Moderate Area
MYSORE RURAL,9,12,0,0,4,0,0,581,10,320,Moderate Area
NAGAON,5,9,28,2,6,4,52,0,1,58,Moderate Area
NALANDA,24,13,14,1,8,3,185,647,40,216,Moderate Area
NALGONDA,22,72,0,0,0,6,202,1317,4,1069,Moderate Area
NANDED,20,36,3,5,7,5,56,103,30,269,Moderate Area
NARSINGHPUR,14,102,7,0,0,16,365,0,2,360,Moderate Area
NASIK RURAL,5,29,3,5,2,2,21,101,31,171,Moderate Area
NAYAGARH,3,16,2,0,1,5,254,459,2,28,Moderate Area
NELLORE,27,30,17,0,0,16,302,904,8,988,Moderate Area
NIZAMABAD,26,42,5,0,0,6,103,186,0,405,Moderate Area
NOWRANGPUR,17,35,13,2,5,5,37,126,0,108,Moderate Area
NUAPADA,5,11,7,0,7,1,89,196,0,383,Moderate Area
OSMANABAD,6,31,6,8,5,2,28,70,2,231,Moderate Area
PALAKKAD,10,103,0,1,1,1,217,51,1,189,Moderate Area
PALANPUR,15,34,20,6,27,20,263,824,2,502,Moderate Area
PANNA,20,62,1,0,2,5,45,274,0,499,Moderate Area
PARBHANI,16,27,10,7,8,12,80,125,11,182,Moderate Area
PATAN,6,15,14,5,10,1,133,4,2,443,Moderate Area
PATNA,11,24,1,4,7,14,154,915,0,373,Moderate Area
PILIBHIT,45,61,19,0,3,8,65,428,0,548,Moderate Area
PRAKASHAM,11,27,6,0,1,4,622,328,16,472,Moderate Area
PUNE RURAL,15,72,7,3,1,2,16,129,10,212,Moderate Area
PURI,7,36,12,1,2,26,319,809,0,203,Moderate Area
RAICHUR,12,19,0,0,1,0,0,566,132,139,Moderate Area
RAIPUR,19,153,14,0,5,3,180,392,0,489,Moderate Area
RAJKOT RURAL,8,25,11,5,10,5,414,8,2,179,Moderate Area
RAMNATHAPURAM,11,10,3,0,5,5,53,322,0,169,Moderate Area
RAMPUR,39,51,39,2,9,3,49,65,0,347,Moderate Area
RANGA REDDY,29,32,6,0,2,7,143,485,22,240,Moderate Area
RATLAM,20,71,14,0,1,10,172,1,0,876,Moderate Area
REWA,18,93,7,0,1,11,104,157,0,407,Moderate Area
ROHTAS,6,5,1,0,1,68,171,738,0,105,Moderate Area
SAHARANPUR,58,36,18,0,0,2,64,17,2,254,Moderate Area
SAHARSA,4,10,0,0,1,15,127,508,0,21,Moderate Area
SAMASTIPUR,1,25,3,0,0,6,24,773,0,110,Moderate Area
SARAN,26,6,10,2,5,23,44,1142,17,30,Moderate Area
SATARA,10,24,3,6,8,3,17,152,21,121,Moderate Area
SIDHARTHNAGAR,9,19,29,1,0,3,9,437,0,80,Moderate Area
SIROHI,12,14,8,0,3,3,355,102,0,190,Moderate Area
SIVAGANGAI,13,7,2,1,1,3,91,546,1,134,Moderate Area
SOLAPUR RURAL,9,36,1,10,4,4,42,142,24,246,Moderate Area
SONBHADRA,27,53,6,0,1,1,36,420,45,47,Moderate Area
SONITPUR,27,17,30,7,4,4,139,0,0,6,Moderate Area
SRIKAKULAM,7,24,3,0,0,1,171,574,26,394,Moderate Area
SULTANPUR,34,57,7,0,1,13,52,654,0,456,Moderate Area
SURENDRANAGAR,14,14,10,1,14,11,607,168,1,262,Moderate Area
THANJAVUR,21,6,1,0,0,1,124,475,190,178,Moderate Area
THIRUNELVELI RURAL,34,35,6,0,2,10,121,255,6,618,Moderate Area
THIRUVALLUR,24,13,14,0,0,8,454,134,2,1553,Moderate Area
TIKAMGARH,22,98,11,1,4,15,276,29,0,367,Moderate Area
TONK,16,31,22,0,3,7,485,612,0,607,Moderate Area
TRIVANDRUM RURAL,0,43,4,1,6,2,221,62,0,155,Moderate Area
TUMKUR,19,16,4,0,1,0,149,510,16,231,Moderate Area
VAISHALI,12,14,16,0,2,18,128,1640,15,699,Moderate Area
VARANASI,28,10,6,0,0,9,11,848,0,69,Moderate Area
VIJAYAWADA,8,12,17,1,22,2,361,43,70,217,Moderate Area
VIJAYAWADA CITY,9,10,29,0,2,2,532,86,3,491,Moderate Area
VILLUPURAM,17,29,5,0,0,7,407,164,0,207,Moderate Area
VIRUDHUNAGAR,28,21,8,0,1,0,83,491,0,202,Moderate Area
VISAKHA RURAL,7,11,0,0,1,0,65,427,78,309,Moderate Area
VIZIANAGARAM,10,18,0,0,0,1,20,276,155,187,Moderate Area
WARANGAL,7,40,0,0,0,0,196,469,27,430,Moderate Area
