DISTRICT,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls,Area type
AHMEDNAGAR,653,354,91,1278,28,5571,0,Moderate Area
AJMER,516,1112,173,1023,8,5489,0,Moderate Area
AKOLA,299,281,74,1109,357,1768,0,Moderate Area
ALAPUZHA,300,132,16,2186,226,2680,0,Moderate Area
ALIGARH,636,1667,639,994,361,2754,0,Moderate Area
ALLAHABAD,430,1163,725,665,470,2316,0,Moderate Area
ALWAR,899,1151,482,1479,2,4781,0,Moderate Area
AMRAVATI RURAL,642,258,63,1565,394,1501,0,Moderate Area
ANANTAPUR,266,554,174,2026,622,1645,0,Moderate Area
ANGUL,483,303,164,2049,75,686,0,Moderate Area
ARARIA,613,499,176,151,7,480,3,Moderate Area
AURANGABAD,230,396,369,119,2,621,0,Moderate Area
AURANGABAD RURAL,191,88,328,690,148,2931,0,Moderate Area
AZAMGARH,185,576,324,251,227,1016,0,Moderate Area
BADAUN,310,705,498,495,243,542,0,Moderate Area
BAHRAICH,300,700,332,284,459,447,0,Moderate Area
BALAGHAT,807,78,76,1548,160,617,0,Moderate Area
BALASORE,661,643,449,1600,259,1666,0,Moderate Area
BALRAMPUR,595,270,103,608,192,358,0,Moderate Area
BANDA,252,257,282,500,107,391,0,Moderate Area
BANGALORE RURAL,266,175,284,1041,2,1149,0,Moderate Area
BANKURA,469,322,262,584,9,1858,0,Moderate Area
BANSWARA,586,647,75,866,20,1477,0,Moderate Area
BARABANKI,317,831,346,394,313,1142,0,Moderate Area
BARAMULLA,195,920,1,1403,284,20,0,Moderate Area
BARAN,641,791,76,1864,33,2610,0,Moderate Area
BARMER,244,277,169,914,0,1390,0,Moderate Area
BARPETA,910,1230,115,467,4,2424,0,Moderate Area
BEED,322,259,112,995,129,3542,0,Moderate Area
BEGUSARAI,228,482,387,139,2,540,2,Moderate Area
