state,places of occurrence,Dacoity (Section 395-398 IPC) - Number of cases registered,Dacoity (Section 395-398 IPC) - Value Of Property Stolen (in rupees),"Robbery(Section 392-394, 397, 398 IPC) - Number of cases registered","Robbery(Section 392-394, 397, 398 IPC) - Value Of Property Stolen (in rupees)","Burglary(Section 449-452, 454, 455, 457-460 IPC) - Number of cases registered","Burglary(Section 449-452, 454, 455, 457-460 IPC) - Value Of Property Stolen (in rupees)",Theft (Section 379-382 IPC) - Number of cases registered,Theft (Section 379-382 IPC) - Value Of Property Stolen (in rupees),Area type
A & N ISLANDS,BANKS,0,0,1,8000,1,67,20,1023500,Peaceful Area
A & N ISLANDS,COMMERCIAL ESTABLISHMENTS,0,0,1,46000,110,8076009,144,7972946,Peaceful Area
A & N ISLANDS,HIGH-WAY,0,0,0,0,0,0,0,0,Peaceful Area
A & N ISLANDS,OTHER PLACES,15,1751150,64,1276271,188,5420837,668,23303016,Peaceful Area
A & N ISLANDS,RAILWAYS,0,0,0,0,0,0,0,0,Peaceful Area
A & N ISLANDS,RESIDENTIAL PREMISES,0,0,8,262800,592,22532809,252,8293804,Peaceful Area
A & N ISLANDS,RIVER & SEA,0,0,0,0,1,77000,40,1014681,Peaceful Area
A & N ISLANDS,RUNNING TRAINS,0,0,0,0,0,0,0,0,Peaceful Area
ANDHRA PRADESH,BANKS,7,7140004,13,5900160,262,59903655,478,36611901,Peaceful Area
ANDHRA PRADESH,COMMERCIAL ESTABLISHMENTS,74,40614413,232,13181844,12032,550034249,30960,771179762,Peaceful Area
ANDHRA PRADESH,HIGH-WAY,471,159136290,1486,127665304,504,18830121,3544,124294527,Peaceful Area
ANDHRA PRADESH,OTHER PLACES,544,125721415,3037,159986725,14226,582701182,141625,3792319889,Moderate Area
ANDHRA PRADESH,RAILWAYS,43,2749260,204,7055180,152,3836576,12577,344984179,Peaceful Area
ANDHRA PRADESH,RESIDENTIAL PREMISES,845,140241750,2612,178160979,70059,2600904141,97567,2331639406,Moderate Area
ANDHRA PRADESH,RIVER & SEA,3,154345,21,343530,101,1412516,439,7442340,Peaceful Area
ANDHRA PRADESH,RUNNING TRAINS,22,304680,80,4140268,1,53900,6373,197987272,Peaceful Area
ARUNACHAL PRADESH,BANKS,1,3058350,0,0,1,7000,0,0,Peaceful Area
ARUNACHAL PRADESH,COMMERCIAL ESTABLISHMENTS,29,214312119,164,4712561,654,27058577,758,45219092,Peaceful Area
ARUNACHAL PRADESH,HIGH-WAY,19,3193076,69,3686906,9,1493216,128,10701678,Peaceful Area
ARUNACHAL PRADESH,OTHER PLACES,92,15276978,288,12678360,767,185131565,2045,267280560,Peaceful Area
ARUNACHAL PRADESH,RAILWAYS,0,0,0,0,0,0,0,0,Peaceful Area
ARUNACHAL PRADESH,RESIDENTIAL PREMISES,119,12610253,321,10614851,1349,95901433,2243,126510565,Peaceful Area
ARUNACHAL PRADESH,RIVER & SEA,0,0,1,250000,0,0,4,112000,Peaceful Area
ARUNACHAL PRADESH,RUNNING TRAINS,0,0,0,0,0,0,0,0,Peaceful Area
ASSAM,BANKS,15,8333201,31,2642811,24,2014975,82,5969085,Peaceful Area
ASSAM,COMMERCIAL ESTABLISHMENTS,288,18216702,882,21819081,5545,115122696,11229,429642418,Peaceful Area
ASSAM,HIGH-WAY,420,29159191,991,38789826,515,14113788,1833,67514299,Peaceful Area
ASSAM,OTHER PLACES,782,117359387,3129,86348870,10104,125802347,33996,971575406,Peaceful Area
ASSAM,RAILWAYS,34,2428669,63,973932,173,1511065,1243,27231930,Peaceful Area
ASSAM,RESIDENTIAL PREMISES,2612,160826544,2357,61444652,18375,264721716,37042,817674827,Peaceful Area
ASSAM,RIVER & SEA,19,729083,14,1044700,16,246837,50,986731,Peaceful Area
ASSAM,RUNNING TRAINS,18,441940,17,308400,9,569802,153,1484197,Peaceful Area
BIHAR,BANKS,154,78552309,97,26473870,36,2165067,90,7396651,Peaceful Area
BIHAR,COMMERCIAL ESTABLISHMENTS,399,33634801,862,27331319,2711,40315630,14233,264507788,Peaceful Area
BIHAR,HIGH-WAY,1934,195798296,11913,450353530,267,2875400,4665,127196333,Peaceful Area
BIHAR,OTHER PLACES,1492,97821119,7351,224537415,6409,93325151,55678,1162015719,Peaceful Area
BIHAR,RAILWAYS,510,15680087,594,13373672,125,3978953,14925,307676865,Peaceful Area
BIHAR,RESIDENTIAL PREMISES,6606,336993167,2823,71954907,30745,329409457,63752,840540519,Peaceful Area
BIHAR,RIVER & SEA,4,289000,26,690300,0,0,29,396250,Peaceful Area
BIHAR,RUNNING TRAINS,444,12797916,384,8258084,56,647880,10201,98382972,Peaceful Area
CHANDIGARH,BANKS,1,0,0,0,15,7000,8,30000,Peaceful Area
CHANDIGARH,COMMERCIAL ESTABLISHMENTS,10,120233400,56,1446170,946,47191499,4303,195631764,Peaceful Area
CHANDIGARH,HIGH-WAY,0,0,0,0,0,0,0,0,Peaceful Area
CHANDIGARH,OTHER PLACES,17,199900,295,9880201,178,5218740,7265,343426430,Peaceful Area
CHANDIGARH,RAILWAYS,0,0,0,0,0,0,0,0,Peaceful Area
CHANDIGARH,RESIDENTIAL PREMISES,3,549000,46,2519220,1808,90687816,6898,325750538,Peaceful Area
CHANDIGARH,RIVER & SEA,0,0,0,0,0,0,0,0,Peaceful Area
CHANDIGARH,RUNNING TRAINS,0,0,0,0,0,0,0,0,Peaceful Area
CHHATTISGARH,BANKS,22,39735825,47,14101096,103,2941076,417,11380831,Peaceful Area
CHHATTISGARH,COMMERCIAL ESTABLISHMENTS,61,4509469,133,3413655,3459,99510902,4792,151530615,Peaceful Area
CHHATTISGARH,HIGH-WAY,122,23030240,706,42594154,321,6208537,731,39869047,Peaceful Area
CHHATTISGARH,OTHER PLACES,551,55396548,3510,154873025,5493,161832351,37843,1256558667,Peaceful Area
CHHATTISGARH,RAILWAYS,72,3161102,96,1335731,34,893518,2878,76697197,Peaceful Area
CHHATTISGARH,RESIDENTIAL PREMISES,636,86871387,619,17154421,35246,567854598,16201,396272345,Peaceful Area
CHHATTISGARH,RIVER & SEA,4,550124,2,4000,0,0,11,135950,Peaceful Area
CHHATTISGARH,RUNNING TRAINS,3,479130,31,652563,10,300000,1675,58441856,Peaceful Area
D & N HAVELI,BANKS,0,0,0,0,4,317314,3,135623,Peaceful Area
D & N HAVELI,COMMERCIAL ESTABLISHMENTS,10,4701391,3,253000,143,29739798,203,72322463,Peaceful Area
D & N HAVELI,HIGH-WAY,1,1179750,6,1169750,0,0,11,2589600,Peaceful Area
D & N HAVELI,OTHER PLACES,12,1180505,11,834675,70,7850834,245,20069623,Peaceful Area
D & N HAVELI,RAILWAYS,0,0,0,0,0,0,0,0,Peaceful Area
D & N HAVELI,RESIDENTIAL PREMISES,17,2953100,10,1680407,171,12440501,292,24993550,Peaceful Area
D & N HAVELI,RIVER & SEA,0,0,0,0,0,0,19,386390,Peaceful Area
D & N HAVELI,RUNNING TRAINS,0,0,0,0,0,0,0,0,Peaceful Area
DAMAN & DIU,BANKS,0,0,1,0,3,0,0,0,Peaceful Area
DAMAN & DIU,COMMERCIAL ESTABLISHMENTS,14,8724729,5,1012680,226,62690866,89,11357939,Peaceful Area
DAMAN & DIU,HIGH-WAY,0,0,0,0,0,0,1,220000,Peaceful Area
DAMAN & DIU,OTHER PLACES,15,2553300,15,9160100,48,2695178,418,39189512,Peaceful Area
DAMAN & DIU,RAILWAYS,0,0,0,0,0,0,0,0,Peaceful Area
DAMAN & DIU,RESIDENTIAL PREMISES,4,79800,2,164000,203,18387030,49,1538975,Peaceful Area
DAMAN & DIU,RIVER & SEA,1,500000,0,0,0,0,7,154000,Peaceful Area
DAMAN & DIU,RUNNING TRAINS,0,0,0,0,0,0,0,0,Peaceful Area
DELHI,BANKS,3,1766296,3,12378500,14,2453000,138,3274253,Peaceful Area
DELHI,COMMERCIAL ESTABLISHMENTS,63,34385172,453,113109476,3887,328697759,16116,1171245570,Peaceful Area
DELHI,HIGH-WAY,17,1714980,371,28283629,0,0,1128,23659457,Peaceful Area
DELHI,OTHER PLACES,144,90360140,4452,1237970141,3496,709771097,147093,8833122464,Moderate Area
DELHI,RAILWAYS,9,629500,90,3642825,9,357678,10304,356580102,Peaceful Area
DELHI,RESIDENTIAL PREMISES,145,54743530,1092,156156232,16149,1422639626,56767,4433023972,Moderate Area
DELHI,RIVER & SEA,0,0,0,0,0,0,0,0,Peaceful Area
DELHI,RUNNING TRAINS,5,580000,30,187900,0,0,2448,63143076,Peaceful Area
GOA,BANKS,0,0,5,120000,53,337558,22,5388689,Peaceful Area
GOA,COMMERCIAL ESTABLISHMENTS,6,9063200,27,14064276,1012,83178340,793,60721175,Peaceful Area
GOA,HIGH-WAY,7,4969700,40,16023528,0,0,88,11257879,Peaceful Area
GOA,OTHER PLACES,17,3825582,162,11097852,646,34612080,5825,447783824,Peaceful Area
GOA,RAILWAYS,1,4000,3,29100,2,27950,121,7468058,Peaceful Area
GOA,RESIDENTIAL PREMISES,24,5640400,58,5521575,1987,157264664,1182,90166094,Peaceful Area
GOA,RIVER & SEA,0,0,3,27000,0,0,14,1602900,Peaceful Area
GOA,RUNNING TRAINS,0,0,1,21500,0,0,72,5776806,Peaceful Area
GUJARAT,BANKS,15,5885741,28,12239307,268,15584734,236,14539771,Peaceful Area
GUJARAT,COMMERCIAL ESTABLISHMENTS,445,351304931,963,104984870,10782,623278307,25015,1044876072,Peaceful Area
GUJARAT,HIGH-WAY,528,238973311,1039,158114818,70,2656299,1470,157178931,Peaceful Area
GUJARAT,OTHER PLACES,1621,940986050,9578,480995832,12902,839573456,131614,5829135947,Moderate Area
GUJARAT,RAILWAYS,59,16684845,514,7505768,28,827209,8107,179728056,Peaceful Area
GUJARAT,RESIDENTIAL PREMISES,1166,615041719,2245,117009510,36635,1801929738,46649,1697827772,Moderate Area
GUJARAT,RIVER & SEA,8,2331600,16,1116285,4,292450,116,40896808,Peaceful Area
GUJARAT,RUNNING TRAINS,47,2171945,344,5042994,26,809709,3783,124874648,Peaceful Area
HARYANA,BANKS,15,20998897,57,18960042,278,8907717,303,23805309,Peaceful Area
HARYANA,COMMERCIAL ESTABLISHMENTS,91,51333247,490,48945758,9135,274521663,20822,734396006,Peaceful Area
HARYANA,HIGH-WAY,349,229154262,1088,268794658,282,8011492,3960,175604893,Peaceful Area
HARYANA,OTHER PLACES,669,238803139,3377,551163836,5557,218998330,69770,2813291986,Moderate Area
HARYANA,RAILWAYS,25,1806282,137,2925192,87,1452561,4209,95154315,Peaceful Area
HARYANA,RESIDENTIAL PREMISES,225,58161052,716,149220115,31165,1066042243,32329,1241809398,Peaceful Area
HARYANA,RIVER & SEA,1,918000,6,742000,0,0,1,20000,Peaceful Area
HARYANA,RUNNING TRAINS,18,534982,37,484246,4,6239,1141,20887905,Peaceful Area
