STATE/UT,Boys 7-12 Years,Girls 7-12 Years,Boys 12-16 Years,Girls 12-16 Years,Boys 16-18 Years,Girls 16-18 Years,Total for boys all Age Groups,Total for girls all Age Groups,Grand total,Area type
A&N Islands,0,0,10,1,25,3,35,4,39,Peaceful Area
Andhra Pradesh,144,4,1560,85,2975,148,4679,237,4916,Moderate Area
Arunachal Pradesh,12,0,168,1,210,2,390,3,393,Peaceful Area
Assam,63,5,447,30,719,35,1229,70,1299,Peaceful Area
Bihar,10,0,427,11,1670,23,2107,34,2141,Peaceful Area
Chandigarh,7,0,109,4,95,1,211,5,216,Peaceful Area
Chhattisgarh,163,25,2855,149,2856,101,5874,275,6149,Moderate Area
D&N Haveli,1,0,7,0,19,0,27,0,27,Peaceful Area
Daman & Diu,0,0,2,0,11,0,13,0,13,Peaceful Area
Delhi UT,47,2,977,22,1796,30,2820,54,2874,Moderate Area
Goa,5,0,26,1,82,6,113,7,120,Peaceful Area
Gujarat,75,4,1671,169,3186,299,4932,472,5404,Moderate Area
Haryana,17,1,1135,59,3055,244,4207,304,4511,Moderate Area
Himachal Pradesh,11,0,141,12,287,25,439,37,476,Peaceful Area
Jammu & Kashmir,6,3,20,1,1,0,27,4,31,Peaceful Area
Jharkhand,231,0,810,115,1118,183,2159,298,2457,Peaceful Area
Karnataka,242,13,540,21,584,25,1366,59,1425,Peaceful Area
Kerala,7,1,282,13,778,149,1067,163,1230,Peaceful Area
Lakshadweep,0,0,0,0,0,0,0,0,0,Peaceful Area
Madhya Pradesh,860,53,7909,446,13490,544,22259,1043,23302,Sensitive Area
Maharashtra,375,37,6028,428,11639,607,18042,1072,19114,Sensitive Area
Manipur,0,0,0,0,0,0,0,0,0,Peaceful Area
Meghalaya,13,0,142,3,195,3,350,6,356,Peaceful Area
Mizoram,12,2,67,2,98,1,177,5,182,Peaceful Area
Nagaland,13,0,9,0,17,1,39,1,40,Peaceful Area
Odisha,48,0,574,16,641,23,1263,39,1302,Peaceful Area
Puducherry,0,0,31,0,80,3,111,3,114,Peaceful Area
Punjab,12,4,161,11,215,14,388,29,417,Peaceful Area
Rajasthan,95,3,1974,85,3570,328,5639,416,6055,Moderate Area
Sikkim,0,0,13,0,84,10,97,10,107,Peaceful Area
Tamil Nadu,25,1,496,21,1348,59,1869,81,1950,Peaceful Area
Tripura,3,0,28,4,47,4,78,8,86,Peaceful Area
Uttar Pradesh,7,0,300,10,919,17,1226,27,1253,Peaceful Area
Uttarakhand,2,0,78,1,96,0,176,1,177,Peaceful Area
West Bengal,11,1,140,17,643,16,794,34,828,Peaceful Area
