Area_Name,Total_loss_in_cases_property,Total_loss_in_valueof_property,Area type
Andaman & Nicobar Islands,2169,594216140,Peaceful Area
Andhra Pradesh,341989,11541493410,Moderate Area
Arunachal Pradesh,11132,1322578265,Peaceful Area
Assam,201738,5376905837,Peaceful Area
Bihar,370233,7850953097,Moderate Area
Chandigarh,31817,1669066472,Peaceful Area
Chhattisgarh,143346,4462278476,Peaceful Area
Dadra & Nagar Haveli,1654,1821119106,Peaceful Area
Daman & Diu,1735,321044440,Peaceful Area
Delhi,450612,70674810028,Moderate Area
Goa,15568,3960434294,Peaceful Area
Gujarat,433650,62876553616,Moderate Area
Haryana,220042,8387272724,Peaceful Area
Himachal Pradesh,26278,2536348561,Peaceful Area
Jammu & Kashmir,59140,2315098733,Peaceful Area
Jharkhand,154363,4616671869,Peaceful Area
Karnataka,388815,22866201900,Moderate Area
Kerala,165553,26834061942,Peaceful Area
Lakshadweep,268,9835528,Peaceful Area
Madhya Pradesh,541816,13127000458,Moderate Area
Maharashtra,1020529,187519747106,Sensitive Area
Manipur,12787,1428011135,Peaceful Area
Meghalaya,14257,1590550661,Peaceful Area
Mizoram,8127,632608888,Peaceful Area
Nagaland,10410,4451065181,Peaceful Area
Odisha,132759,10920586907,Peaceful Area
Puducherry,9111,250067691,Peaceful Area
Punjab,80510,8620041188,Peaceful Area
Rajasthan,398598,11125598117,Moderate Area
Sikkim,2373,442696848,Peaceful Area
Tamil Nadu,101815,5642122502,Peaceful Area
Tripura,11467,593733404,Peaceful Area
Uttar Pradesh,477745,12977667449,Moderate Area
Uttarakhand,31774,1464310472,Peaceful Area
West Bengal,312290,19721186864,Moderate Area
