STATE/UT,RESIDENTIAL PREMISES - Dacoity,RESIDENTIAL PREMISES - Robbery,RESIDENTIAL PREMISES - Burglary,RESIDENTIAL PREMISES - Theft,HIGHWAYS - Dacoity,HIGHWAYS - Robbery,HIGHWAYS - Burglary,HIGHWAYS - Theft,RIVER and SEA - Dacoity,RIVER and SEA - Robbery,RIVER and SEA - Burglary,RIVER and SEA - Theft,RAILWAYS - Dacoity,RAILWAYS - Robbery,RAILWAYS - Burglary,RAILWAYS - Theft,BANKS - Dacoity,BANKS - Robbery,BANKS - Burglary,BANKS - Theft,COMMERCIAL ESTABLISHMENTS - Dacoity,COMMERCIAL ESTABLISHMENTS - Robbery,COMMERCIAL ESTABLISHMENTS - Burglary,COMMERCIAL ESTABLISHMENTS - Theft,OTHER PLACES - Dacoity,OTHER PLACES - Robbery,OTHER PLACES - Burglary,OTHER PLACES - Theft,TOTAL - Dacoity,TOTAL - Robbery,TOTAL - Burglary,TOTAL - Theft,Area type
A & N ISLANDS,0,8,592,252,0,0,0,0,0,0,1,40,0,0,0,0,0,1,1,20,0,1,110,144,15,64,188,668,15,74,892,1124,Peaceful Area
ANDHRA PRADESH,845,2612,70059,97567,471,1486,504,3544,3,21,101,439,43,204,152,12577,7,13,262,478,74,232,12032,30960,544,3037,14226,141625,1987,7605,97336,287190,Moderate Area
ARUNACHAL PRADESH,119,321,1349,2243,19,69,9,128,0,1,0,4,0,0,0,0,1,0,1,0,29,164,654,758,92,288,767,2045,260,843,2780,5178,Peaceful Area
ASSAM,2612,2357,18375,37042,420,991,515,1833,19,14,16,50,34,63,173,1243,15,31,24,82,288,882,5545,11229,782,3129,10104,33996,4170,7467,34752,85475,Peaceful Area
BIHAR,6606,2823,30745,63752,1934,11913,267,4665,4,26,0,29,510,594,125,14925,154,97,36,90,399,862,2711,14233,1492,7351,6409,55678,11099,23666,40293,153372,Moderate Area
CHANDIGARH,3,46,1808,6898,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,8,10,56,946,4303,17,295,178,7265,31,397,2947,18474,Peaceful Area
CHHATTISGARH,636,619,35246,16201,122,706,321,731,4,2,0,11,72,96,34,2878,22,47,103,417,61,133,3459,4792,551,3510,5493,37843,1468,5113,44656,62873,Peaceful Area
D & N HAVELI,17,10,171,292,1,6,0,11,0,0,0,19,0,0,0,0,0,0,4,3,10,3,143,203,12,11,70,245,40,30,388,773,Peaceful Area
DAMAN & DIU,4,2,222,52,0,0,0,1,1,0,0,8,0,0,0,0,0,1,3,0,14,5,226,89,17,19,50,456,36,27,525,613,Peaceful Area
DELHI,145,1092,16149,56767,17,371,0,1128,0,0,0,0,9,90,9,10304,3,3,14,138,63,453,3887,16116,144,4452,3496,147093,381,6461,23555,231546,Moderate Area
