DISTRICT,Murder,Rape,Kidnapping and Abduction,Foeticide,Abetment of suicide,Exposure and abandonment,Procuration of minor girls,Buying of girls for prostitution,Selling of girls for prostitution,Prohibition of child marriage act,Total,Area type
24 PARGANAS NORTH,65.0,289.0,598.0,1.0,0.0,1.0,240.0,3.0,220.0,14.0,1435,Moderate Area
24 PARGANAS SOUTH,0.0,39.0,112.0,0.0,4.0,4.0,13.0,45.0,18.0,1.0,238,Peaceful Area
A and N ISLANDS,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,Peaceful Area
ADILABAD,21.0,102.0,78.0,4.0,1.0,21.0,4.0,0.0,0.0,7.0,269,Peaceful Area
AGRA,68.0,187.0,805.0,0.0,1.0,0.0,0.0,1.0,16.0,1.0,1456,Sensitive Area
AHMEDABAD COMMR.,20.0,74.0,665.0,2.0,0.0,222.0,20.0,0.0,1.0,6.0,1435,Sensitive Area
AHMEDABAD RURAL,13.0,11.0,76.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,168,Peaceful Area
AHMEDNAGAR,116.0,179.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366,Sensitive Area
AHWA-DANG,3.0,12.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,21,Peaceful Area
AIZAWL,5.0,121.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,133,Peaceful Area
AJMER,22.0,168.0,251.0,9.0,0.0,13.0,2.0,0.0,0.0,2.0,473,Peaceful Area
AKOLA,40.0,100.0,164.0,0.0,0.0,97.0,0.0,0.0,0.0,6.0,773,Sensitive Area
ALAPUZHA,19.0,63.0,35.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,245,Peaceful Area
ALIGARH,175.0,179.0,556.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1000,Sensitive Area
ALIRAJPUR,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Peaceful Area
ALLAHABAD,131.0,169.0,327.0,5.0,12.0,0.0,0.0,0.0,4.0,1.0,787,Sensitive Area
ALMORA,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4,Peaceful Area
ALWAR,24.0,203.0,286.0,0.0,1.0,95.0,0.0,0.0,0.0,0.0,609,Sensitive Area
AMBALA,8.0,50.0,59.0,4.0,0.0,8.0,0.0,0.0,0.0,2.0,132,Peaceful Area
AMBALA RURAL,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,Peaceful Area
AMBALA URBAN,3.0,8.0,42.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,61,Peaceful Area
AMBEDKAR NAGAR,46.0,65.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,306,Peaceful Area
AMBEDKARNAGAR,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,Peaceful Area
AMRAVATI COMMR.,16.0,108.0,122.0,2.0,2.0,49.0,0.0,0.0,0.0,3.0,408,Peaceful Area
AMRAVATI RURAL,40.0,297.0,166.0,0.0,2.0,12.0,0.0,0.0,0.0,4.0,572,Sensitive Area
AMRELI,36.0,31.0,251.0,8.0,0.0,34.0,0.0,0.0,0.0,12.0,418,Sensitive Area
AMRITSAR,31.0,40.0,123.0,39.0,1.0,3.0,1.0,0.0,0.0,1.0,288,Sensitive Area
AMRITSAR RURAL,14.0,27.0,70.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,122,Peaceful Area
ANAND,34.0,40.0,232.0,1.0,0.0,66.0,3.0,0.0,0.0,9.0,400,Sensitive Area
ANANTAPUR,58.0,82.0,202.0,0.0,17.0,1.0,2.0,0.0,4.0,1.0,402,Sensitive Area
ANANTNAG,1.0,9.0,214.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,233,Peaceful Area
ANDAMAN,7.0,61.0,52.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,206,Peaceful Area
ANGUL,8.0,29.0,18.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,222,Peaceful Area
ANJAW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Peaceful Area
ANUPPUR,19.0,211.0,42.0,13.0,4.0,11.0,0.0,0.0,0.0,5.0,305,Sensitive Area
ARARIA,28.0,9.0,73.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,155,Peaceful Area
ARIYALUR,5.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,Peaceful Area
ARWAL,8.0,4.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63,Peaceful Area
ASANSOL,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,Peaceful Area
ASHOK NAGAR,17.0,185.0,31.0,10.0,0.0,17.0,0.0,0.0,0.0,0.0,635,Peaceful Area
AURAIYA,34.0,54.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,378,Peaceful Area
AURANGABAD,17.0,29.0,129.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,176,Peaceful Area
AURANGABAD COMMR.,43.0,109.0,157.0,3.0,0.0,169.0,26.0,0.0,0.0,1.0,589,Sensitive Area
AURANGABAD RURAL,64.0,58.0,34.0,6.0,2.0,24.0,0.0,0.0,0.0,7.0,397,Sensitive Area
AWANTIPORA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Peaceful Area
AZAMGARH,42.0,57.0,150.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,300,Peaceful Area
BADAUN,73.0,122.0,387.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,670,Sensitive Area
BADDIPOLICEDIST,2.0,12.0,9.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,38,Peaceful Area
BADWANI,4.0,19.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,59,Peaceful Area
BAGAHA,6.0,1.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111,Peaceful Area
BAGALKOT,37.0,13.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,86,Peaceful Area
BAGESHWAR,3.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,Peaceful Area
BAGHPAT,103.0,71.0,224.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,474,Peaceful Area
BAHRAICH,38.0,67.0,220.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,358,Peaceful Area
BAKSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Peaceful Area
BALAGHAT,47.0,397.0,59.0,2.0,0.0,7.0,0.0,0.0,1.0,0.0,1089,Sensitive Area
BALASORE,18.0,47.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,102,Peaceful Area
BALLIA,33.0,49.0,171.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,283,Peaceful Area
BALOD,2.0,12.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,54,Peaceful Area
BALODA BAZAR,4.0,36.0,16.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,127,Peaceful Area
BALRAMPUR,35.0,146.0,82.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,407,Peaceful Area
BANDA,41.0,116.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,449,Peaceful Area
BANDIPORA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Peaceful Area
BANGALORE COMMR.,31.0,69.0,430.0,3.0,0.0,17.0,48.0,0.0,1.0,10.0,675,Sensitive Area
BANGALORE RURAL,3.0,2.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,15,Peaceful Area
BANKA,6.0,0.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163,Peaceful Area
BANKURA,3.0,10.0,50.0,1.0,0.0,0.0,4.0,1.0,0.0,3.0,73,Peaceful Area
BANSWARA,27.0,117.0,157.0,2.0,0.0,63.0,0.0,0.0,0.0,1.0,372,Peaceful Area
BARABANKI,60.0,128.0,329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,602,Peaceful Area
BARAGARH,3.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,Peaceful Area
BARAMULLA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Peaceful Area
BARAN,12.0,129.0,121.0,14.0,0.0,7.0,0.0,0.0,0.0,4.0,313,Peaceful Area
BAREILLY,115.0,209.0,415.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,938,Sensitive Area
BARMER,25.0,52.0,106.0,0.0,0.0,21.0,2.0,0.0,0.0,0.0,208,Peaceful Area
BARNALA,6.0,32.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54,Peaceful Area
BARPETA,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,Peaceful Area
BARWANI,23.0,192.0,35.0,3.0,1.0,7.0,0.0,0.0,0.0,0.0,578,Peaceful Area
BASKA,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,Peaceful Area
BASTI,38.0,67.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320,Peaceful Area
BATALA,12.0,85.0,91.0,8.0,0.0,11.0,0.0,0.0,0.0,6.0,234,Peaceful Area
BDN CP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Peaceful Area
BEED,114.0,155.0,149.0,1.0,1.0,21.0,1.0,0.0,0.0,3.0,669,Sensitive Area
BEGUSARAI,9.0,6.0,112.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,132,Peaceful Area
BELGAUM,126.0,159.0,173.0,0.0,0.0,89.0,9.0,0.0,0.0,5.0,570,Sensitive Area
BELLARY,9.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,26,Peaceful Area
BEMETARA,0.0,14.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,Peaceful Area
BERHAMPUR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Peaceful Area
BETTIAH,9.0,11.0,188.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,209,Peaceful Area
BETUL,46.0,678.0,122.0,2.0,2.0,14.0,0.0,0.0,0.0,2.0,1719,Sensitive Area
BHABHUA,3.0,16.0,81.0,0.0,0.0,0.0,31.0,0.0,1.0,1.0,143,Peaceful Area
BHADRAK,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,Peaceful Area
BHAGALPUR,22.0,18.0,259.0,0.0,0.0,0.0,114.0,0.0,0.0,0.0,413,Peaceful Area
BHANDARA,38.0,212.0,115.0,0.0,5.0,7.0,0.0,0.0,1.0,2.0,613,Sensitive Area
BHARATPUR,81.0,108.0,377.0,6.0,0.0,74.0,1.0,0.0,0.0,0.0,647,Sensitive Area
BHARUCH,21.0,61.0,157.0,0.0,0.0,31.0,0.0,0.0,0.0,10.0,349,Peaceful Area
BHATINDA,20.0,97.0,106.0,28.0,2.0,1.0,6.0,0.0,1.0,3.0,298,Sensitive Area
BHAVNAGAR,74.0,52.0,402.0,17.0,1.0,105.0,0.0,0.0,0.0,56.0,1103,Sensitive Area
BHILWARA,9.0,113.0,129.0,4.0,0.0,63.0,0.0,0.0,0.0,3.0,357,Peaceful Area
BHIM NAGAR,10.0,38.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115,Peaceful Area
BHIND,35.0,78.0,76.0,0.0,0.0,24.0,1.0,0.0,0.0,3.0,900,Peaceful Area
BHIWANI,1.0,11.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,77,Peaceful Area
BHOJPUR,35.0,15.0,204.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,295,Peaceful Area
BHOPAL,71.0,675.0,268.0,3.0,3.0,97.0,10.0,0.0,18.0,2.0,1326,Sensitive Area
BHOPAL RLY.,10.0,12.0,9.0,0.0,0.0,73.0,2.0,0.0,0.0,0.0,178,Peaceful Area
BIDAR,15.0,39.0,53.0,0.0,0.0,117.0,0.0,0.0,0.0,2.0,227,Peaceful Area
BIEO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Peaceful Area
BIJAPUR,55.0,55.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,140,Peaceful Area
BIJNOR,127.0,173.0,463.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,874,Sensitive Area
BIKANER,7.0,82.0,34.0,7.0,0.0,13.0,0.0,0.0,0.0,0.0,144,Peaceful Area
BILASPUR,44.0,297.0,148.0,40.0,11.0,13.0,1.0,0.0,0.0,29.0,1145,Sensitive Area
