DISTRICT,MURDER,ATTEMPT TO MURDER,RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,DACOITY,ROBBERY,BURGLARY,THEFT,CHEATING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,Area
24 PARGANAS NORTH,2329,1262,1883,3311,2390,248,739,387,21986,2168,140,1879,683,47,17446,180,56644,122795,Sensitive Area
24 PARGANAS SOUTH,2114,201,2221,2209,2120,194,392,556,18426,1389,129,1864,642,19,18672,401,58961,120912,Sensitive Area
A and N ISLANDS,15,19,3,12,9,5,9,90,112,23,11,99,1,2,18,4,337,807,Peaceful Area
ADILABAD,1186,869,672,754,570,72,237,2519,3964,1932,395,16392,188,1242,4126,3593,20579,61959,Moderate Area
AGRA,1609,1816,493,2541,1936,201,1220,3063,20725,3323,121,5381,832,955,4003,4605,20143,77987,Sensitive Area
AHMEDABAD COMMR.,1204,778,506,2301,1669,471,5292,9392,57655,3173,79,16439,83,225,11670,2084,100241,218005,Sensitive Area
AHMEDABAD RURAL,414,191,85,466,430,137,349,1318,3592,164,186,4117,12,1,1217,3543,20272,37699,Moderate Area
AHMEDNAGAR,1210,815,653,514,354,477,1543,5248,14405,2023,505,8397,91,28,5571,6858,16686,71762,Moderate Area
AHWA-DANG,78,13,29,6,5,5,9,51,104,18,18,259,1,1,71,225,1238,2237,Peaceful Area
AIZAWL,141,127,345,38,1,8,52,2316,5201,453,109,445,0,2,36,180,2602,12686,Peaceful Area
AJMER,538,642,516,1256,1112,29,371,3507,8954,7106,190,4138,173,8,5489,4889,37919,77731,Moderate Area
AKOLA,588,576,299,312,281,113,658,3351,10762,1023,421,9586,74,357,1768,1514,14930,49341,Moderate Area
ALAPUZHA,250,337,300,185,132,67,396,2405,3049,2459,255,15835,16,226,2680,17,58637,94788,Moderate Area
ALIGARH,2032,2270,636,2134,1667,176,1201,1875,10393,2768,393,3756,639,361,2754,3103,13804,53786,Moderate Area
ALIRAJPUR,319,208,145,63,61,6,44,191,356,20,59,1402,3,2,28,362,3011,6449,Peaceful Area
ALLAHABAD,1652,1479,430,1425,1163,83,677,2861,9178,2385,189,5073,725,470,2316,3812,20104,57048,Moderate Area
ALMORA,146,87,49,39,38,14,99,216,425,132,31,351,70,20,83,156,649,2784,Peaceful Area
ALWAR,1019,975,899,1598,1151,17,503,2563,17664,7895,348,27728,482,2,4781,4610,27345,101378,Sensitive Area
AMBALA,350,219,237,310,252,38,177,2959,4373,1030,84,2518,109,188,1806,30,11279,26471,Peaceful Area
AMBALA RURAL,13,15,11,28,19,1,6,118,209,45,3,66,7,4,73,2,462,1082,Peaceful Area
AMBALA URBAN,15,16,21,75,39,0,21,362,600,99,5,109,5,14,159,1,759,2342,Peaceful Area
AMBEDKAR NAGAR,430,403,167,533,486,19,216,508,1343,610,56,1911,151,111,919,599,3316,12268,Peaceful Area
AMRAVATI COMMR.,292,326,236,225,192,49,505,2850,9697,640,158,4873,36,233,909,838,9146,32826,Peaceful Area
AMRAVATI RURAL,774,411,642,278,258,104,362,3294,10746,486,715,10291,63,394,1501,1996,12649,47756,Moderate Area
AMRELI,295,132,96,585,555,25,183,1305,2112,150,116,3518,9,30,1514,1269,15119,27751,Peaceful Area
AMRITSAR,470,442,135,349,277,16,113,1090,2525,2049,33,1906,53,23,641,987,4503,15878,Peaceful Area
AMRITSAR RURAL,180,188,68,146,110,5,20,275,479,520,25,741,21,8,172,480,1108,4567,Peaceful Area
ANAND,341,150,117,501,449,101,163,1611,4856,352,200,4669,1,29,2022,2576,21930,41373,Moderate Area
ANANTAPUR,1922,1248,266,839,554,137,244,2536,6079,1445,444,17682,174,622,1645,5058,15861,59927,Moderate Area
ANANTNAG,407,491,155,941,867,26,166,1544,1430,358,302,262,0,417,18,289,7228,16464,Peaceful Area
ANDAMAN,118,41,92,73,61,4,63,708,918,196,80,910,3,37,97,32,3638,7377,Peaceful Area
ANGUL,598,639,483,337,303,162,619,1379,3750,451,215,549,164,75,686,2084,12902,28700,Moderate Area
ANJAW,3,1,1,1,1,0,0,11,12,1,0,19,0,0,2,12,20,85,Peaceful Area
ANUPPUR,281,98,390,59,49,16,131,911,990,151,61,2147,66,37,350,231,7087,13866,Peaceful Area
ARARIA,705,612,613,901,499,393,552,604,2384,500,291,1843,176,7,480,484,13854,28415,Moderate Area
ARIYALUR,138,156,74,136,109,4,37,192,517,65,44,1544,9,12,53,531,6215,10219,Peaceful Area
ARWAL,333,418,31,148,68,59,97,188,648,118,87,1257,157,0,99,303,3050,7673,Peaceful Area
ASANSOL,395,94,179,282,189,46,173,98,3153,364,23,843,112,15,2563,1094,8614,19677,Peaceful Area
ASHOK NAGAR,288,261,466,65,55,12,123,1007,1334,116,106,8174,86,76,339,573,8392,22932,Peaceful Area
AURAIYA,484,402,118,584,408,50,211,292,1044,332,69,1526,262,91,342,1490,4032,12106,Peaceful Area
AURANGABAD,974,827,230,511,396,301,384,1177,2984,743,181,7309,369,2,621,1159,10687,31944,Moderate Area
AURANGABAD COMMR.,418,509,224,302,225,156,998,3181,9008,1705,148,4891,66,236,1541,1686,8632,36372,Moderate Area
AURANGABAD RURAL,640,342,191,138,88,178,455,1973,4738,542,436,8854,328,148,2931,2878,7231,35481,Moderate Area
AWANTIPORA,154,39,52,187,179,4,55,293,374,74,17,10,0,40,5,134,2713,4686,Peaceful Area
AZAMGARH,967,730,185,698,576,45,701,982,2082,861,22,3354,324,227,1016,1135,6694,22155,Moderate Area
BADAUN,1742,1906,310,1007,705,92,440,686,2345,637,173,3487,498,243,542,658,11356,27746,Moderate Area
BADDIPOLICEDIST,32,16,27,39,30,1,4,139,181,34,6,583,1,1,38,199,423,1913,Peaceful Area
BAGAHA,448,519,225,719,323,47,124,362,1550,424,143,3376,80,0,169,292,6487,16720,Peaceful Area
BAGALKOT,537,387,86,219,126,55,137,983,1561,487,104,3398,37,11,712,0,13059,24722,Peaceful Area
BAGESHWAR,75,24,46,26,18,0,40,64,124,33,9,89,35,10,31,51,334,1052,Peaceful Area
BAGHPAT,949,946,173,530,421,59,454,420,2009,588,22,1111,188,188,784,943,4367,14906,Peaceful Area
BAHRAICH,573,469,300,765,700,78,235,797,1763,975,127,1965,332,459,447,913,7078,18885,Moderate Area
BAKSA,38,7,33,62,50,5,14,22,104,14,4,66,3,0,15,31,233,664,Peaceful Area
BALAGHAT,675,309,807,98,78,16,173,1687,1943,166,163,4770,76,160,617,938,17474,32210,Peaceful Area
BALASORE,459,405,661,724,643,149,510,2127,3322,684,277,9038,449,259,1666,12,12476,35784,Moderate Area
BALLIA,436,582,99,350,299,34,149,773,1549,482,41,1926,216,155,339,821,3784,13090,Peaceful Area
BALOD,15,2,22,7,6,2,6,70,75,27,4,24,4,1,9,93,688,1117,Peaceful Area
BALODA BAZAR,24,18,45,18,18,3,26,182,181,18,20,858,0,10,37,131,655,2371,Peaceful Area
BALRAMPUR,625,369,595,318,270,157,196,749,934,442,90,1919,103,192,358,690,4330,13374,Peaceful Area
BANDA,606,341,252,348,257,17,150,669,1220,562,131,1158,282,107,391,515,6591,14794,Peaceful Area
BANDIPORA,32,32,16,249,237,0,14,169,280,29,34,5,0,37,3,0,963,2606,Peaceful Area
BANGALORE COMMR.,2831,4067,642,3014,947,529,6740,19968,105434,26401,48,37973,552,407,3832,1182,124176,350347,Sensitive Area
BANGALORE RURAL,1579,894,266,430,175,264,739,4268,9055,1256,260,10804,284,2,1149,0,40266,77461,Moderate Area
BANKA,890,365,447,514,354,317,309,778,1371,245,172,2493,235,2,253,373,8025,19347,Moderate Area
BANKURA,665,353,469,351,322,140,285,118,2822,337,108,2199,262,9,1858,1636,5794,19848,Peaceful Area
BANSWARA,403,223,586,699,647,15,147,880,1358,912,349,11890,75,20,1477,1224,9233,32173,Moderate Area
BARABANKI,753,681,317,898,831,65,308,993,2487,545,59,2993,346,313,1142,1807,9715,25212,Moderate Area
BARAGARH,383,700,285,166,144,95,401,898,1962,303,208,607,101,106,938,1396,6865,17604,Peaceful Area
BARAMULLA,694,868,195,1027,920,13,93,1514,1808,203,273,143,1,284,20,22,7456,17683,Peaceful Area
BARAN,403,952,641,810,791,8,142,1368,3655,2076,224,4302,76,33,2610,1111,18468,39385,Moderate Area
BAREILLY,2070,2267,673,1754,1458,191,831,1662,7023,2518,66,4640,595,667,2570,2630,19471,53583,Moderate Area
BARMER,256,307,244,329,277,1,70,1197,2655,2252,250,7119,169,0,1390,1688,14585,33777,Peaceful Area
BARNALA,183,267,141,95,60,2,25,453,723,726,14,1091,28,0,205,775,2374,7376,Peaceful Area
BARPETA,567,156,910,1366,1230,264,299,1665,2355,438,190,2071,115,4,2424,1407,10333,28180,Moderate Area
BARWANI,486,292,467,64,58,14,144,1044,2285,107,99,3944,40,101,203,1430,12891,25039,Peaceful Area
BASKA,273,78,123,256,197,17,50,132,290,64,46,513,18,0,114,137,999,3269,Peaceful Area
BASTI,373,306,120,301,285,18,156,467,1220,581,48,1542,185,316,357,986,4927,12900,Peaceful Area
BATALA,287,333,218,189,147,15,20,628,1122,1162,28,1904,57,0,396,700,2808,10143,Peaceful Area
BDN CP,15,35,13,53,0,3,17,10,847,186,0,0,9,8,320,0,1765,3446,Peaceful Area
BEED,832,643,322,419,259,391,914,3577,7119,925,563,11603,112,129,3542,2933,9117,49141,Moderate Area
BEGUSARAI,1409,1659,228,1109,482,171,775,833,3711,733,183,5020,387,2,540,2199,15538,38025,Moderate Area
BELGAUM,1402,1022,280,513,330,138,654,2948,5130,2430,268,11119,107,41,2342,382,38161,73697,Moderate Area
BELLARY,646,537,150,233,173,52,303,1811,3519,720,131,6220,99,2,803,158,22873,41853,Peaceful Area
BEMETARA,12,15,24,19,18,0,8,57,105,16,6,30,3,5,29,87,826,1323,Peaceful Area
BERHAMPUR,244,716,153,171,119,92,601,1036,2058,525,122,1926,70,71,412,819,4611,15429,Peaceful Area
BETTIAH,906,828,477,1235,597,161,366,993,3835,943,210,14334,324,33,714,938,10813,42395,Moderate Area
BETUL,736,441,1524,253,228,11,209,1856,2504,269,187,4851,185,147,738,1367,19873,37200,Moderate Area
BHABHUA,651,458,143,488,232,194,283,777,2239,389,246,2591,252,0,246,642,7456,19288,Peaceful Area
BHADRAK,366,383,459,402,376,53,214,784,1297,492,196,301,233,148,1056,804,13487,22156,Peaceful Area
BHAGALPUR,1189,979,465,1122,753,158,560,1610,5256,923,241,4047,220,12,849,1080,16215,38436,Moderate Area
BHANDARA,343,147,338,146,121,28,198,2315,5526,437,420,4368,36,320,786,1586,9711,28350,Peaceful Area
BHARATPUR,983,1001,751,1646,1213,61,377,1002,11888,5860,407,8099,331,1,4103,2549,50404,91034,Moderate Area
