DISTRICT,Murder,Rape,Kidnapping and Abduction,Dacoity,Robbery,Arson,Hurt,Prevention of atrocities (POA) Act,Protection of Civil Rights (PCR) Act,Other Crimes Against SCs,Area
24 PARGANAS NORTH,0,0,0,0,0,0,1,10,0,11,Peaceful Area
24 PARGANAS SOUTH,0,0,0,0,0,0,0,2,0,5,Peaceful Area
A and N ISLANDS,0,0,0,0,0,0,0,0,0,0,Peaceful Area
ADILABAD,5,47,9,0,0,3,60,176,39,347,Peaceful Area
AGRA,84,86,98,3,6,10,114,618,0,924,Sensitive Area
AHMEDABAD COMMR.,32,46,38,7,17,2,122,323,10,201,Moderate Area
AHMEDABAD RURAL,6,12,7,5,8,9,148,388,1,239,Moderate Area
AHMEDNAGAR,11,30,6,1,4,13,35,100,13,194,Moderate Area
AHWA-DANG,0,0,0,0,0,0,0,1,0,1,Peaceful Area
AIZAWL,0,0,0,0,0,0,0,0,0,0,Peaceful Area
AJMER,18,51,22,0,3,8,65,128,0,1346,Moderate Area
AKOLA,7,27,1,0,4,1,9,72,6,97,Peaceful Area
ALAPUZHA,4,34,2,0,1,0,121,108,0,133,Peaceful Area
ALIGARH,86,118,100,2,9,18,73,195,67,1133,Sensitive Area
ALIRAJPUR,1,0,0,0,0,0,0,0,0,1,Peaceful Area
ALLAHABAD,83,99,68,1,4,24,207,628,0,1145,Sensitive Area
ALMORA,0,1,0,0,0,0,0,46,0,3,Peaceful Area
ALWAR,44,132,0,0,0,74,48,425,0,2549,Sensitive Area
AMBALA,6,7,6,0,0,0,55,45,0,29,Peaceful Area
AMBALA RURAL,0,0,0,0,0,0,0,0,0,1,Peaceful Area
AMBALA URBAN,0,0,0,0,0,0,1,0,0,4,Peaceful Area
AMBEDKAR NAGAR,26,34,19,0,1,3,28,491,2,80,Moderate Area
AMRAVATI COMMR.,1,22,2,1,1,1,0,52,13,50,Peaceful Area
AMRAVATI RURAL,6,35,5,1,1,0,12,62,10,108,Peaceful Area
AMRELI,8,6,7,1,3,3,81,196,0,194,Peaceful Area
AMRITSAR,1,4,2,0,0,0,4,26,1,4,Peaceful Area
AMRITSAR RURAL,2,2,0,0,0,0,1,7,0,4,Peaceful Area
ANAND,2,7,13,1,0,2,45,217,28,113,Peaceful Area
ANANTAPUR,12,33,1,0,1,17,403,608,20,474,Moderate Area
ANANTNAG,0,0,0,0,0,0,0,0,0,0,Peaceful Area
ANDAMAN,0,0,0,0,0,0,0,0,0,0,Peaceful Area
ANGUL,17,26,4,1,0,13,124,329,0,464,Moderate Area
ANJAW,0,0,0,0,0,0,0,0,0,0,Peaceful Area
ANUPPUR,6,14,6,0,1,2,9,0,0,68,Peaceful Area
ARARIA,12,27,9,0,0,34,219,296,0,166,Moderate Area
ARIYALUR,0,1,0,0,0,0,10,105,0,0,Peaceful Area
ARWAL,0,0,0,0,0,2,0,101,0,4,Peaceful Area
ASANSOL,0,1,0,0,0,0,2,3,0,4,Peaceful Area
ASHOK NAGAR,26,77,3,2,2,21,267,0,0,418,Moderate Area
AURAIYA,27,19,19,2,1,9,89,1,1,413,Moderate Area
AURANGABAD,16,9,8,3,3,1,439,625,0,80,Moderate Area
AURANGABAD COMMR.,6,9,4,3,1,2,9,46,7,59,Peaceful Area
AURANGABAD RURAL,9,11,3,2,2,11,22,83,4,167,Peaceful Area
AWANTIPORA,0,0,0,0,0,0,0,0,0,0,Peaceful Area
AZAMGARH,55,49,21,2,8,20,90,144,0,654,Sensitive Area
BADAUN,73,43,17,0,3,11,23,296,2,99,Moderate Area
BADDIPOLICEDIST,0,0,0,0,0,0,0,4,0,2,Peaceful Area
BAGAHA,0,1,0,0,0,1,69,341,34,60,Peaceful Area
BAGALKOT,17,16,10,4,3,4,102,427,1,313,Moderate Area
BAGESHWAR,1,0,0,0,0,0,15,43,0,3,Peaceful Area
BAGHPAT,18,10,23,0,1,2,6,37,0,92,Peaceful Area
BAHRAICH,25,35,14,0,0,4,1,782,0,659,Moderate Area
BAKSA,0,0,0,0,0,0,0,0,0,0,Peaceful Area
BALAGHAT,14,46,4,0,0,1,143,76,0,142,Peaceful Area
BALASORE,5,50,8,0,5,13,389,578,0,170,Moderate Area
BALLIA,14,19,11,2,0,17,68,243,32,270,Moderate Area
BALOD,0,2,0,0,0,0,0,0,0,3,Peaceful Area
BALODA BAZAR,0,5,0,0,0,1,7,0,0,11,Peaceful Area
BALRAMPUR,18,22,4,0,0,6,31,291,0,128,Peaceful Area
BANDA,45,74,21,0,5,16,70,651,0,615,Moderate Area
BANDIPORA,0,0,0,0,0,0,0,0,0,0,Peaceful Area
BANGALORE COMMR.,12,15,4,0,1,1,76,1192,86,36,Moderate Area
BANGALORE RURAL,15,7,1,3,0,0,112,1067,28,401,Moderate Area
BANKA,1,1,0,0,0,0,66,241,0,68,Peaceful Area
BANKURA,0,3,0,0,0,0,10,28,1,29,Peaceful Area
BANSWARA,1,6,2,0,0,1,48,16,0,51,Peaceful Area
BARABANKI,60,69,14,4,15,22,92,898,0,1452,Sensitive Area
BARAGARH,5,28,5,1,1,5,119,170,0,114,Peaceful Area
BARAMULLA,0,0,0,0,0,0,0,0,0,0,Peaceful Area
BARAN,11,74,24,0,1,3,47,213,6,612,Moderate Area
BAREILLY,100,79,60,5,10,12,45,918,5,253,Sensitive Area
BARMER,18,25,1,0,1,7,3,394,0,1202,Moderate Area
BARNALA,0,1,0,0,0,0,0,11,0,13,Peaceful Area
BARPETA,0,0,0,0,0,0,0,0,0,0,Peaceful Area
BARWANI,4,21,4,0,0,2,110,13,0,120,Peaceful Area
BASKA,0,0,0,0,0,0,0,0,0,0,Peaceful Area
BASTI,19,25,4,0,0,6,8,607,0,260,Moderate Area
BATALA,3,1,1,0,1,0,2,14,0,9,Peaceful Area
BDN CP,0,0,0,0,0,0,1,0,0,1,Peaceful Area
BEED,19,26,4,6,6,19,38,70,4,234,Moderate Area
BEGUSARAI,6,3,5,0,0,0,237,1270,26,154,Moderate Area
BELGAUM,14,11,0,0,0,0,0,565,2,0,Peaceful Area
BELLARY,3,2,0,0,0,0,0,596,83,152,Moderate Area
BEMETARA,0,0,0,0,0,0,0,0,0,3,Peaceful Area
BERHAMPUR,0,8,2,0,0,2,23,147,0,86,Peaceful Area
BETTIAH,13,3,0,0,0,0,316,523,0,50,Moderate Area
BETUL,22,94,6,0,3,2,110,0,1,322,Moderate Area
BHABHUA,5,3,0,2,1,7,80,255,0,25,Peaceful Area
BHADRAK,4,8,1,0,0,3,123,628,0,73,Moderate Area
BHAGALPUR,7,15,12,0,1,7,97,706,0,385,Moderate Area
BHANDARA,9,31,1,2,0,3,18,54,6,144,Peaceful Area
BHARATPUR,37,105,0,0,0,74,42,738,0,4147,Sensitive Area
BHARUCH,3,3,3,2,2,0,22,105,0,20,Peaceful Area
BHATINDA,2,13,0,0,0,0,12,55,0,40,Peaceful Area
BHAVNAGAR,11,16,7,0,15,13,126,183,0,288,Moderate Area
BHILWARA,16,53,0,0,0,22,7,676,0,813,Moderate Area
BHIM NAGAR,6,7,4,0,0,0,2,0,0,45,Peaceful Area
BHIND,44,77,9,1,5,28,178,0,0,1055,Sensitive Area
BHIWANI,4,35,15,0,0,1,7,7,0,76,Peaceful Area
BHOJPUR,5,5,3,0,0,7,99,866,18,72,Moderate Area
BHOPAL,23,148,13,0,0,0,103,614,0,664,Moderate Area
BHOPAL RLY.,4,2,1,0,0,0,2,14,0,10,Peaceful Area
BIDAR,10,9,8,1,0,4,79,305,2,92,Peaceful Area
BIEO,0,0,0,0,0,0,0,0,0,0,Peaceful Area
BIJAPUR,27,31,8,1,2,3,384,686,3,239,Moderate Area
BIJNOR,71,50,43,0,0,3,84,90,0,428,Sensitive Area
BIKANER,22,97,1,0,0,21,144,107,0,1717,Sensitive Area
BILASPUR,39,50,8,1,4,7,83,171,8,556,Moderate Area
BIRBHUM,0,6,0,0,0,0,1,2,0,4,Peaceful Area
BISHNUPUR,0,0,0,0,0,0,0,0,0,0,Peaceful Area
BIZAPUR,1,2,0,0,0,0,1,4,0,4,Peaceful Area
BKP CP,0,0,0,0,0,0,0,0,0,0,Peaceful Area
BOKARO,0,0,0,0,0,0,2,35,0,175,Peaceful Area
BOLANGIR,11,30,5,0,23,10,128,300,0,113,Moderate Area
BONGAIGAON,0,0,0,0,0,2,18,0,0,25,Peaceful Area
BORDER,0,0,0,0,0,0,0,0,0,0,Peaceful Area
BORDER DISTRICT,0,0,0,0,0,0,0,0,0,0,Peaceful Area
BOUDH,3,7,0,0,2,2,88,148,0,74,Peaceful Area
BUDGAM,0,0,0,0,0,0,0,0,0,0,Peaceful Area
BULANDSHAHAR,79,74,54,0,6,7,76,147,0,523,Sensitive Area
BULDHANA,10,36,6,2,4,4,23,90,0,210,Moderate Area
