DISTRICT,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls,Area type
24 PARGANAS NORTH,1883,2390,683,1919,47,17446,8,Sensitive Area
24 PARGANAS SOUTH,2221,2120,642,1438,19,18672,3,Sensitive Area
A and N ISLANDS,3,9,1,21,2,18,0,Peaceful Area
ADILABAD,672,570,188,1785,1242,4126,0,Sensitive Area
AGRA,493,1936,832,1278,955,4003,0,Sensitive Area
AHMEDABAD COMMR.,506,1669,83,820,225,11670,0,Sensitive Area
AHMEDABAD RURAL,85,430,12,253,1,1217,0,Peaceful Area
AHMEDNAGAR,653,354,91,1278,28,5571,0,Moderate Area
AHWA-DANG,29,5,1,29,1,71,0,Peaceful Area
AIZAWL,345,1,0,362,2,36,0,Peaceful Area
AJMER,516,1112,173,1023,8,5489,0,Moderate Area
AKOLA,299,281,74,1109,357,1768,0,Moderate Area
ALAPUZHA,300,132,16,2186,226,2680,0,Moderate Area
ALIGARH,636,1667,639,994,361,2754,0,Moderate Area
ALIRAJPUR,145,61,3,136,2,28,0,Peaceful Area
ALLAHABAD,430,1163,725,665,470,2316,0,Moderate Area
ALMORA,49,38,70,57,20,83,0,Peaceful Area
ALWAR,899,1151,482,1479,2,4781,0,Moderate Area
AMBALA,237,252,109,235,188,1806,0,Peaceful Area
AMBALA RURAL,11,19,7,12,4,73,0,Peaceful Area
AMBALA URBAN,21,39,5,23,14,159,0,Peaceful Area
AMBEDKAR NAGAR,167,486,151,173,111,919,0,Peaceful Area
AMRAVATI COMMR.,236,192,36,488,233,909,0,Peaceful Area
AMRAVATI RURAL,642,258,63,1565,394,1501,0,Moderate Area
AMRELI,96,555,9,272,30,1514,0,Peaceful Area
AMRITSAR,135,277,53,129,23,641,0,Peaceful Area
AMRITSAR RURAL,68,110,21,45,8,172,0,Peaceful Area
ANAND,117,449,1,300,29,2022,0,Peaceful Area
ANANTAPUR,266,554,174,2026,622,1645,0,Moderate Area
ANANTNAG,155,867,0,948,417,18,0,Peaceful Area
ANDAMAN,92,61,3,168,37,97,0,Peaceful Area
ANGUL,483,303,164,2049,75,686,0,Moderate Area
ANJAW,1,1,0,0,0,2,0,Peaceful Area
ANUPPUR,390,49,66,657,37,350,0,Peaceful Area
ARARIA,613,499,176,151,7,480,3,Moderate Area
ARIYALUR,74,109,9,241,12,53,0,Peaceful Area
ARWAL,31,68,157,64,0,99,0,Peaceful Area
ASANSOL,179,189,112,206,15,2563,0,Peaceful Area
ASHOK NAGAR,466,55,86,1091,76,339,0,Peaceful Area
AURAIYA,118,408,262,187,91,342,0,Peaceful Area
AURANGABAD,230,396,369,119,2,621,0,Moderate Area
AURANGABAD COMMR.,224,225,66,544,236,1541,0,Peaceful Area
AURANGABAD RURAL,191,88,328,690,148,2931,0,Moderate Area
AWANTIPORA,52,179,0,243,40,5,0,Peaceful Area
AZAMGARH,185,576,324,251,227,1016,0,Moderate Area
BADAUN,310,705,498,495,243,542,0,Moderate Area
BADDIPOLICEDIST,27,30,1,25,1,38,0,Peaceful Area
BAGAHA,225,323,80,148,0,169,0,Peaceful Area
BAGALKOT,86,126,37,604,11,712,2,Peaceful Area
BAGESHWAR,46,18,35,31,10,31,0,Peaceful Area
BAGHPAT,173,421,188,185,188,784,0,Peaceful Area
BAHRAICH,300,700,332,284,459,447,0,Moderate Area
BAKSA,33,50,3,4,0,15,0,Peaceful Area
BALAGHAT,807,78,76,1548,160,617,0,Moderate Area
BALASORE,661,643,449,1600,259,1666,0,Moderate Area
BALLIA,99,299,216,158,155,339,0,Peaceful Area
BALOD,22,6,4,50,1,9,0,Peaceful Area
BALODA BAZAR,45,18,0,98,10,37,0,Peaceful Area
BALRAMPUR,595,270,103,608,192,358,0,Moderate Area
BANDA,252,257,282,500,107,391,0,Moderate Area
BANDIPORA,16,237,0,348,37,3,0,Peaceful Area
BANGALORE COMMR.,642,947,552,2630,407,3832,0,Sensitive Area
BANGALORE RURAL,266,175,284,1041,2,1149,0,Moderate Area
BANKA,447,354,235,52,2,253,0,Peaceful Area
BANKURA,469,322,262,584,9,1858,0,Moderate Area
BANSWARA,586,647,75,866,20,1477,0,Moderate Area
BARABANKI,317,831,346,394,313,1142,0,Moderate Area
BARAGARH,285,144,101,932,106,938,0,Peaceful Area
BARAMULLA,195,920,1,1403,284,20,0,Moderate Area
BARAN,641,791,76,1864,33,2610,0,Moderate Area
BAREILLY,673,1458,595,1075,667,2570,3,Sensitive Area
BARMER,244,277,169,914,0,1390,0,Moderate Area
BARNALA,141,60,28,98,0,205,0,Peaceful Area
BARPETA,910,1230,115,467,4,2424,0,Moderate Area
BARWANI,467,58,40,970,101,203,0,Peaceful Area
BASKA,123,197,18,83,0,114,0,Peaceful Area
BASTI,120,285,185,123,316,357,0,Peaceful Area
BATALA,218,147,57,111,0,396,0,Peaceful Area
BDN CP,13,0,9,58,8,320,0,Peaceful Area
BEED,322,259,112,995,129,3542,0,Moderate Area
BEGUSARAI,228,482,387,139,2,540,2,Moderate Area
BELGAUM,280,330,107,1576,41,2342,0,Moderate Area
BELLARY,150,173,99,729,2,803,1,Peaceful Area
BEMETARA,24,18,3,61,5,29,0,Peaceful Area
BERHAMPUR,153,119,70,1136,71,412,0,Peaceful Area
BETTIAH,477,597,324,212,33,714,8,Moderate Area
BETUL,1524,228,185,1865,147,738,0,Moderate Area
BHABHUA,143,232,252,74,0,246,2,Peaceful Area
BHADRAK,459,376,233,866,148,1056,0,Moderate Area
BHAGALPUR,465,753,220,197,12,849,0,Moderate Area
BHANDARA,338,121,36,629,320,786,0,Peaceful Area
BHARATPUR,751,1213,331,618,1,4103,0,Moderate Area
BHARUCH,118,259,0,214,24,655,0,Peaceful Area
BHATINDA,302,276,51,264,20,509,0,Peaceful Area
BHAVNAGAR,150,867,23,651,438,2231,0,Moderate Area
BHILWARA,554,1261,108,1176,17,4770,0,Moderate Area
BHIM NAGAR,57,196,56,73,0,125,0,Peaceful Area
BHIND,388,174,403,870,49,627,0,Moderate Area
BHIWANI,309,334,269,340,130,1088,0,Moderate Area
BHOJPUR,201,406,477,208,7,1165,1,Moderate Area
BHOPAL,1272,496,278,2448,623,1967,3,Moderate Area
BHOPAL RLY.,20,9,16,137,34,11,0,Peaceful Area
BIDAR,105,172,86,712,23,832,0,Peaceful Area
BIEO,0,0,0,0,0,0,0,Peaceful Area
